Date,Open,High,Low,Close,Adj Close,Volume
11-Nov-08,22.46,23.88,22.46,23.88,15.75,-
12-Nov-08,23.88,23.88,23.88,23.88,15.75,-
13-Nov-08,24.09,25.2,23.83,24.0,15.83,"26,100"
14-Nov-08,24.0,24.0,24.0,24.0,15.83,-
17-Nov-08,24.0,24.0,24.0,24.0,15.83,-
18-Nov-08,24.0,24.0,24.0,24.0,15.83,-
19-Nov-08,26.5,26.5,23.73,25.07,16.54,"2,100"
20-Nov-08,23.39,23.39,23.39,23.39,15.43,200
21-Nov-08,23.09,23.09,22.96,22.96,15.14,"1,000"
24-Nov-08,23.7,25.13,23.7,25.13,16.58,"1,700"
25-Nov-08,25.13,25.13,23.97,23.97,15.81,"6,900"
26-Nov-08,25.38,25.38,22.13,22.55,14.87,"111,400"
28-Nov-08,24.0,24.68,23.78,24.68,16.28,"8,000"
01-Dec-08,24.04,24.23,23.94,23.94,15.79,"2,400"
02-Dec-08,24.04,24.08,24.0,24.08,15.88,600
03-Dec-08,24.24,37.2,24.24,24.34,16.05,"15,100"
04-Dec-08,24.41,24.48,24.17,24.17,15.94,"12,300"
05-Dec-08,23.94,25.6,23.16,24.36,16.07,"15,300"
08-Dec-08,24.92,25.95,24.75,25.75,16.98,"24,600"
09-Dec-08,24.93,24.96,24.72,24.75,16.33,"21,100"
10-Dec-08,26.0,26.0,25.8,25.8,17.02,"1,700"
11-Dec-08,24.91,24.96,24.88,24.88,16.41,"3,500"
12-Dec-08,24.5,24.81,24.5,24.81,16.36,"3,900"
15-Dec-08,24.95,24.97,24.75,24.75,16.33,"2,000"
16-Dec-08,24.94,25.11,24.93,25.01,16.5,"1,500"
17-Dec-08,25.44,25.6,25.44,25.6,16.89,"6,500"
18-Dec-08,25.61,25.77,25.23,25.77,17.0,"3,600"
19-Dec-08,25.32,25.43,25.22,25.22,16.64,"7,800"
22-Dec-08,24.99,24.99,24.99,24.99,16.48,700
23-Dec-08,25.11,25.11,25.09,25.09,16.55,"4,200"
24-Dec-08,25.09,25.09,25.09,25.09,16.55,-
26-Dec-08,26.08,26.08,25.07,25.07,16.63,"10,800"
29-Dec-08,25.11,25.11,24.96,24.96,16.56,"2,900"
30-Dec-08,25.53,25.9,25.11,25.9,17.18,"25,800"
31-Dec-08,27.13,27.13,25.2,25.47,16.9,"14,300"
02-Jan-09,25.54,25.58,25.53,25.58,16.97,"13,600"
05-Jan-09,25.38,26.45,25.35,26.45,17.55,"102,200"
06-Jan-09,25.59,25.67,25.39,25.67,17.03,"7,600"
07-Jan-09,25.23,25.42,25.23,25.3,16.79,"3,600"
08-Jan-09,25.31,25.4,25.22,25.22,16.73,"6,100"
09-Jan-09,25.19,25.27,25.15,25.25,16.75,"2,600"
12-Jan-09,26.0,26.0,24.77,25.2,16.72,"22,500"
13-Jan-09,25.45,25.45,24.76,24.96,16.56,"8,200"
14-Jan-09,25.81,25.81,24.5,24.63,16.34,"10,100"
15-Jan-09,24.44,24.71,24.4,24.56,16.3,"1,100"
16-Jan-09,24.66,24.75,24.66,24.75,16.42,"1,800"
20-Jan-09,24.49,25.15,24.26,24.26,16.1,"5,700"
21-Jan-09,24.19,25.15,24.0,24.42,16.2,"6,800"
22-Jan-09,24.15,24.15,24.13,24.13,16.01,"1,200"
23-Jan-09,23.8,25.05,23.8,25.05,16.62,"5,800"
26-Jan-09,24.34,24.44,24.04,24.44,16.22,"1,200"
27-Jan-09,24.43,24.94,24.43,24.94,16.55,"10,700"
28-Jan-09,24.78,24.85,24.75,24.85,16.49,700
