Date,Open,High,Low,Close,Adj Close,Volume
19-Sep-19,49.97,49.99,49.64,49.64,41.96,"1,200"
20-Sep-19,49.99,49.99,49.67,49.67,41.98,"2,600"
23-Sep-19,50.04,50.04,49.22,49.69,41.99,"13,700"
24-Sep-19,49.75,49.75,49.21,49.32,41.69,"1,900"
25-Sep-19,49.35,49.52,49.25,49.31,41.68,"11,400"
26-Sep-19,49.37,49.69,49.26,49.31,41.68,"4,800"
27-Sep-19,48.68,48.73,48.57,48.73,41.19,"1,100"
30-Sep-19,49.27,49.27,48.94,48.94,41.37,"1,400"
01-Oct-19,48.7,48.75,48.65,48.72,41.18,"11,000"
02-Oct-19,48.26,48.44,48.26,48.36,40.87,"3,600"
03-Oct-19,48.84,48.97,48.77,48.9,41.33,"2,000"
04-Oct-19,49.07,49.14,49.07,49.13,41.52,"10,400"
07-Oct-19,49.06,49.06,48.99,48.99,41.4,"51,600"
08-Oct-19,48.85,48.89,48.76,48.76,41.21,"22,300"
09-Oct-19,49.23,49.23,48.96,48.96,41.38,300
10-Oct-19,49.59,49.59,49.36,49.42,41.77,"20,800"
11-Oct-19,50.33,50.38,50.25,50.25,42.47,300
14-Oct-19,50.2,50.3,49.99,49.99,42.25,"9,800"
15-Oct-19,50.33,50.47,50.33,50.33,42.54,"2,700"
16-Oct-19,50.34,50.43,50.33,50.43,42.62,"25,800"
17-Oct-19,50.85,50.85,50.54,50.62,42.79,"14,400"
18-Oct-19,50.45,50.56,50.43,50.43,42.62,900
21-Oct-19,50.61,50.72,50.6,50.68,42.83,"3,500"
22-Oct-19,50.82,50.9,50.69,50.74,42.89,"7,800"
23-Oct-19,50.57,50.84,50.57,50.78,42.92,"55,000"
24-Oct-19,50.9,50.92,50.79,50.92,43.03,"1,453,300"
25-Oct-19,51.25,51.25,51.15,51.21,43.28,"1,300"
28-Oct-19,51.51,51.63,51.51,51.55,43.57,"8,800"
29-Oct-19,51.29,51.48,51.22,51.27,43.33,"48,900"
30-Oct-19,51.15,51.28,51.15,51.25,43.31,"2,100"
31-Oct-19,51.03,51.06,50.92,51.03,43.13,"10,800"
01-Nov-19,51.89,51.89,51.78,51.83,43.81,"3,700"
04-Nov-19,52.45,52.61,52.28,52.34,44.24,"6,800"
05-Nov-19,52.4,52.6,52.14,52.6,44.46,"18,500"
06-Nov-19,52.08,52.46,52.08,52.46,44.34,700
07-Nov-19,52.43,53.13,52.43,52.86,44.68,"5,500"
