Date,Open,High,Low,Close,Adj Close,Volume
14-Jun-21,26.69,26.86,24.87,26.7,25.06,"397,30"
15-Jun-21,26.65,27.63,26.61,26.75,25.11,"848,000"
16-Jun-21,26.43,26.89,26.36,26.62,24.99,"748,100"
17-Jun-21,26.53,26.64,26.18,26.39,24.77,"484,200"
18-Jun-21,26.39,26.39,25.92,25.92,24.33,"770,000"
21-Jun-21,26.12,26.45,26.04,26.42,24.8,"927,400"
22-Jun-21,26.31,26.74,26.19,26.46,24.9,"419,800"
23-Jun-21,26.46,26.72,26.42,26.42,24.86,"409,000"
24-Jun-21,26.56,26.68,26.53,26.61,25.04,"341,900"
25-Jun-21,26.76,26.84,26.65,26.79,25.21,"883,200"
28-Jun-21,26.88,28.03,26.6,26.69,25.11,"700,000"
29-Jun-21,26.72,26.84,26.66,26.69,25.11,"371,800"
30-Jun-21,26.55,26.98,26.55,26.98,25.38,"1,005,500"
01-Jul-21,26.98,26.99,26.82,26.91,25.32,"618,800"
02-Jul-21,27.01,27.07,26.9,27.04,25.44,"481,800"
06-Jul-21,26.85,27.09,26.65,26.81,25.22,"447,200"
07-Jul-21,26.71,26.93,26.7,26.88,25.29,"319,700"
08-Jul-21,26.56,26.75,26.4,26.59,25.02,"711,100"
09-Jul-21,26.44,27.04,26.44,26.99,25.39,"461,100"
12-Jul-21,26.96,27.11,26.92,27.11,25.51,"288,000"
13-Jul-21,26.94,27.04,26.88,26.9,25.31,"399,700"
14-Jul-21,26.94,27.09,26.78,26.87,25.28,"428,500"
15-Jul-21,26.83,26.83,26.6,26.77,25.19,"599,300"
16-Jul-21,26.92,26.92,26.45,26.5,24.93,"463,700"
19-Jul-21,26.36,26.36,25.88,26.06,24.52,"620,200"
20-Jul-21,26.2,26.65,26.04,26.56,24.98,"372,400"
21-Jul-21,26.7,26.85,26.63,26.85,25.26,"2,400,900"
22-Jul-21,26.93,26.93,26.66,26.78,25.2,"415,100"
23-Jul-21,27.09,27.09,26.81,26.98,25.38,"567,100"
26-Jul-21,26.91,27.09,26.91,27.06,25.46,"1,094,900"
27-Jul-21,27.05,27.05,26.76,26.94,25.35,"737,300"
28-Jul-21,26.9,27.12,26.85,26.99,25.39,"375,700"
29-Jul-21,27.02,27.28,27.02,27.2,25.59,"248,600"
30-Jul-21,27.0,27.23,27.0,27.09,25.49,"364,200"
02-Aug-21,27.17,27.33,27.01,27.02,25.42,"417,300"
03-Aug-21,27.13,27.24,26.89,27.24,25.63,"435,100"
04-Aug-21,27.09,27.19,27.01,27.01,25.41,"594,800"
05-Aug-21,27.01,27.21,27.01,27.19,25.58,"406,900"
06-Aug-21,27.24,27.36,27.24,27.31,25.7,"297,900"
09-Aug-21,27.34,27.34,27.2,27.24,25.63,"388,900"
