Date,Open,High,Low,Close,Adj Close,Volume
24-Mar-22,24.9,25.09,24.9,25.01,22.36,"1,1"
25-Mar-22,25.02,25.07,24.91,25.06,22.41,"139,000"
28-Mar-22,24.92,24.95,24.78,24.93,22.29,"1,104,400"
29-Mar-22,25.4,25.45,25.23,25.44,22.75,"759,300"
30-Mar-22,25.38,25.42,25.26,25.3,22.62,"54,300"
31-Mar-22,25.1,25.2,24.91,24.91,22.28,"35,700"
01-Apr-22,25.05,25.09,24.94,25.08,22.43,"58,300"
04-Apr-22,25.13,25.22,25.13,25.2,22.54,"22,900"
05-Apr-22,25.01,25.04,24.81,24.86,22.23,"187,900"
06-Apr-22,24.58,24.7,24.44,24.56,21.96,"221,900"
07-Apr-22,24.26,24.63,24.26,24.56,21.96,"66,600"
08-Apr-22,24.53,24.67,24.53,24.58,21.98,"16,700"
11-Apr-22,24.48,24.5,24.3,24.3,21.73,"49,900"
12-Apr-22,24.47,24.48,24.18,24.24,21.68,"50,100"
13-Apr-22,24.31,24.54,24.3,24.49,21.9,"147,800"
14-Apr-22,24.44,24.56,24.43,24.46,21.87,"60,600"
18-Apr-22,24.52,24.52,24.3,24.33,21.76,"68,600"
19-Apr-22,24.32,24.5,24.27,24.47,21.88,"44,000"
20-Apr-22,24.75,24.77,24.63,24.66,22.05,"316,000"
21-Apr-22,24.95,24.97,24.37,24.37,21.79,"82,200"
22-Apr-22,24.32,24.32,23.93,23.93,21.4,"109,400"
25-Apr-22,23.71,23.84,23.45,23.79,21.27,"136,900"
26-Apr-22,23.65,23.68,23.15,23.15,20.7,"188,100"
27-Apr-22,23.25,23.44,23.15,23.24,20.78,"200,900"
28-Apr-22,23.51,23.71,23.27,23.64,21.14,"160,000"
29-Apr-22,23.71,23.88,23.34,23.34,20.87,"359,400"
02-May-22,23.25,23.35,23.02,23.28,20.82,"385,200"
03-May-22,23.48,23.58,23.42,23.53,21.04,"197,000"
04-May-22,23.54,23.93,23.34,23.9,21.37,"475,200"
05-May-22,23.64,23.66,22.99,23.15,20.7,"266,600"
06-May-22,23.07,23.13,22.82,22.96,20.53,"506,000"
09-May-22,22.6,22.61,22.23,22.28,19.92,"607,300"
10-May-22,22.62,22.62,22.18,22.34,19.98,"778,000"
11-May-22,22.46,22.72,22.24,22.26,19.91,"1,150,400"
12-May-22,22.22,22.36,22.01,22.24,19.89,"1,027,800"
13-May-22,22.71,22.82,22.53,22.77,20.36,"367,800"
16-May-22,22.76,22.97,22.67,22.84,20.42,"539,700"
17-May-22,23.29,23.32,23.14,23.32,20.85,"1,165,400"
18-May-22,23.12,23.13,22.73,22.74,20.33,"1,345,300"
19-May-22,22.82,23.17,22.74,23.03,20.59,"562,000"
20-May-22,23.32,23.32,22.87,23.14,20.69,"539,900"
23-May-22,23.43,23.6,23.35,23.53,21.04,"601,300"
