Date,Open,High,Low,Close,Adj Close,Volume
16-Nov-21,50.22,50.22,50.19,50.19,45.01,-
17-Nov-21,50.2,50.2,50.17,50.17,45.0,"84,800"
18-Nov-21,50.25,50.26,50.24,50.25,45.07,"9,600"
19-Nov-21,50.28,50.29,50.28,50.28,45.09,"7,400"
22-Nov-21,50.29,50.32,50.27,50.28,45.1,"4,400"
23-Nov-21,50.33,50.33,50.28,50.28,45.1,"6,200"
24-Nov-21,50.31,50.31,50.31,50.31,45.12,400
26-Nov-21,50.39,50.39,50.38,50.38,45.19,300
29-Nov-21,50.34,50.37,50.34,50.35,45.16,"1,100"
30-Nov-21,50.44,50.44,50.39,50.39,45.19,"10,200"
01-Dec-21,50.41,50.42,50.37,50.38,45.19,"27,300"
02-Dec-21,50.34,50.35,50.33,50.33,45.14,"7,200"
03-Dec-21,50.31,50.39,50.31,50.37,45.17,"13,500"
06-Dec-21,50.35,50.35,50.31,50.31,45.12,"1,900"
07-Dec-21,50.33,50.34,50.33,50.33,45.14,"16,700"
08-Dec-21,50.32,50.32,50.29,50.29,45.11,"3,700"
09-Dec-21,50.32,50.32,50.28,50.29,45.11,"18,800"
10-Dec-21,50.36,50.36,50.34,50.35,45.16,"4,500"
13-Dec-21,50.35,50.38,50.33,50.35,45.16,"8,700"
14-Dec-21,50.34,50.38,50.34,50.35,45.16,"1,200"
15-Dec-21,50.37,50.37,50.35,50.35,45.15,"7,700"
16-Dec-21,50.33,50.37,50.33,50.35,45.18,"11,100"
17-Dec-21,50.39,50.39,50.33,50.36,45.19,"8,700"
20-Dec-21,50.35,50.39,50.35,50.38,45.21,"13,600"
21-Dec-21,50.36,50.4,50.32,50.35,45.18,"42,700"
22-Dec-21,50.36,50.38,50.35,50.38,45.2,"18,700"
23-Dec-21,50.38,50.39,50.35,50.37,45.2,"43,300"
27-Dec-21,50.35,50.42,50.35,50.38,45.2,"57,400"
28-Dec-21,50.4,50.4,50.36,50.38,45.2,"22,000"
29-Dec-21,50.39,50.39,50.37,50.38,45.21,"7,800"
30-Dec-21,50.45,50.45,50.4,50.41,45.24,"27,000"
31-Dec-21,50.41,50.41,50.4,50.4,45.22,"3,000"
03-Jan-22,50.4,50.4,50.33,50.36,45.19,"38,100"
04-Jan-22,50.32,50.37,50.32,50.36,45.19,"26,300"
05-Jan-22,50.35,50.36,50.29,50.29,45.13,"14,100"
06-Jan-22,50.29,50.29,50.25,50.28,45.12,"31,900"
07-Jan-22,50.2,50.22,50.2,50.22,45.07,"4,800"
10-Jan-22,50.24,50.24,50.11,50.12,44.98,"32,600"
11-Jan-22,50.11,50.12,50.1,50.11,44.97,"10,900"
12-Jan-22,50.13,50.13,50.1,50.1,44.96,"20,700"
13-Jan-22,50.09,50.12,50.09,50.12,44.98,"18,700"
14-Jan-22,50.08,50.09,50.03,50.04,44.9,"29,200"
18-Jan-22,50.12,50.12,49.97,49.99,44.86,"11,600"
19-Jan-22,50.01,50.04,49.97,50.01,44.88,"7,100"
20-Jan-22,49.96,50.0,49.96,50.0,44.87,"15,800"
21-Jan-22,49.98,49.98,49.9,49.9,44.78,"176,700"
24-Jan-22,49.88,49.89,49.79,49.83,44.71,"9,000"
25-Jan-22,49.82,49.84,49.78,49.78,44.68,"16,900"
26-Jan-22,49.78,49.78,49.61,49.63,44.53,"21,600"
27-Jan-22,49.62,49.64,49.53,49.56,44.48,"27,200"
28-Jan-22,49.55,49.55,49.47,49.49,44.41,"23,300"
31-Jan-22,49.44,49.48,49.42,49.46,44.38,"12,400"
01-Feb-22,49.5,49.53,49.5,49.51,44.43,"28,600"
02-Feb-22,49.56,49.58,49.54,49.58,44.49,"24,000"
03-Feb-22,49.54,49.62,49.54,49.59,44.5,"18,500"
04-Feb-22,49.58,49.6,49.53,49.56,44.47,"41,000"
07-Feb-22,49.57,49.57,49.54,49.55,44.46,"6,000"
08-Feb-22,49.56,49.6,49.53,49.54,44.45,"45,100"
09-Feb-22,49.5,49.57,49.5,49.54,44.46,"27,700"
10-Feb-22,49.47,49.53,49.41,49.41,44.34,"67,800"
11-Feb-22,49.44,49.47,49.4,49.4,44.33,"32,900"
14-Feb-22,49.39,49.39,49.07,49.25,44.19,"524,100"
15-Feb-22,49.27,49.28,49.22,49.26,44.2,"30,300"
16-Feb-22,49.2,49.26,49.18,49.26,44.2,"27,800"
17-Feb-22,49.28,49.28,49.22,49.26,44.21,"8,400"
18-Feb-22,49.23,49.31,49.23,49.25,44.2,"15,100"
22-Feb-22,49.28,49.28,49.23,49.24,44.19,"21,000"
23-Feb-22,49.3,49.31,49.25,49.26,44.21,"24,500"
24-Feb-22,49.37,49.39,49.31,49.35,44.3,"47,000"
25-Feb-22,49.3,49.35,49.25,49.31,44.25,"66,300"
28-Feb-22,49.31,49.35,49.28,49.31,44.25,"34,300"
01-Mar-22,49.42,49.44,49.35,49.4,44.34,"27,200"
02-Mar-22,49.42,49.42,49.35,49.35,44.3,"51,200"
03-Mar-22,49.32,49.37,49.27,49.36,44.3,"7,200"
04-Mar-22,49.36,49.39,49.33,49.35,44.29,"39,100"
07-Mar-22,49.36,49.4,49.31,49.31,44.26,"159,200"
08-Mar-22,49.24,49.31,49.2,49.23,44.19,"39,100"
09-Mar-22,49.22,49.25,49.19,49.24,44.2,"26,300"
10-Mar-22,49.23,49.24,49.09,49.19,44.15,"140,700"
11-Mar-22,49.16,49.16,49.01,49.08,44.05,"52,300"
14-Mar-22,48.98,49.06,48.85,48.9,43.89,"35,100"
15-Mar-22,48.9,48.94,48.84,48.91,43.9,"77,700"
16-Mar-22,48.84,48.93,48.8,48.81,43.81,"52,100"
17-Mar-22,48.96,49.05,48.9,48.96,43.94,"103,600"
18-Mar-22,48.99,48.99,48.93,48.97,43.95,"33,400"
21-Mar-22,48.97,48.97,48.81,48.84,43.84,"53,400"
22-Mar-22,48.82,48.82,48.71,48.74,43.77,"234,300"
23-Mar-22,48.78,48.8,48.61,48.63,43.67,"86,300"
