Date,Open,High,Low,Close,Adj Close,Volume
31-Dec-07,10.0,10.0,10.0,10.0,7.45,-
02-Jan-08,10.0,10.0,10.0,10.0,7.45,-
03-Jan-08,10.0,10.0,10.0,10.0,7.45,-
04-Jan-08,10.0,10.0,10.0,10.0,7.45,-
07-Jan-08,10.0,10.0,10.0,10.0,7.45,-
08-Jan-08,10.0,10.0,10.0,10.0,7.45,-
09-Jan-08,10.0,10.0,10.0,10.0,7.45,-
10-Jan-08,10.0,10.0,10.0,10.0,7.45,-
11-Jan-08,10.0,10.0,10.0,10.0,7.45,-
14-Jan-08,10.0,10.0,10.0,10.0,7.45,-
15-Jan-08,10.0,10.0,10.0,10.0,7.45,-
16-Jan-08,10.0,10.0,10.0,10.0,7.45,-
17-Jan-08,10.0,10.0,10.0,10.0,7.45,-
18-Jan-08,10.0,10.0,10.0,10.0,7.45,-
22-Jan-08,10.01,10.01,10.01,10.01,7.45,-
23-Jan-08,10.01,10.01,10.01,10.01,7.45,-
24-Jan-08,10.01,10.01,10.01,10.01,7.45,-
25-Jan-08,10.01,10.01,10.01,10.01,7.45,-
28-Jan-08,10.01,10.01,10.01,10.01,7.45,-
29-Jan-08,10.01,10.01,10.01,10.01,7.45,-
30-Jan-08,10.01,10.01,10.01,10.01,7.45,-
31-Jan-08,10.01,10.01,10.01,10.01,7.45,-
01-Feb-08,10.01,10.01,10.01,10.01,7.45,-
04-Feb-08,10.01,10.01,10.01,10.01,7.45,-
05-Feb-08,10.01,10.01,10.01,10.01,7.45,-
06-Feb-08,10.01,10.01,10.01,10.01,7.45,-
07-Feb-08,10.01,10.01,10.01,10.01,7.45,-
08-Feb-08,10.02,10.02,10.02,10.02,7.46,-
11-Feb-08,10.01,10.01,10.01,10.01,7.45,-
12-Feb-08,10.01,10.01,10.01,10.01,7.45,-
13-Feb-08,10.01,10.01,10.01,10.01,7.45,-
14-Feb-08,10.01,10.01,10.01,10.01,7.45,-
15-Feb-08,10.01,10.01,10.01,10.01,7.45,-
19-Feb-08,10.01,10.01,10.01,10.01,7.45,-
20-Feb-08,10.01,10.01,10.01,10.01,7.45,-
21-Feb-08,10.01,10.01,10.01,10.01,7.45,-
22-Feb-08,10.02,10.02,10.02,10.02,7.46,-
25-Feb-08,10.01,10.01,10.01,10.01,7.45,-
26-Feb-08,10.01,10.01,10.01,10.01,7.45,-
27-Feb-08,10.01,10.01,10.01,10.01,7.45,-
28-Feb-08,10.02,10.02,10.02,10.02,7.46,-
29-Feb-08,10.04,10.04,10.04,10.04,7.48,-
03-Mar-08,10.04,10.04,10.04,10.04,7.48,-
04-Mar-08,10.04,10.04,10.04,10.04,7.48,-
05-Mar-08,10.03,10.03,10.03,10.03,7.47,-
06-Mar-08,10.04,10.04,10.04,10.04,7.48,-
07-Mar-08,10.05,10.05,10.05,10.05,7.48,-
10-Mar-08,10.05,10.05,10.05,10.05,7.48,-
11-Mar-08,10.03,10.03,10.03,10.03,7.47,-
12-Mar-08,10.04,10.04,10.04,10.04,7.48,-
13-Mar-08,10.04,10.04,10.04,10.04,7.48,-
14-Mar-08,10.06,10.06,10.06,10.06,7.49,-
17-Mar-08,10.08,10.08,10.08,10.08,7.51,-
18-Mar-08,10.05,10.05,10.05,10.05,7.48,-
19-Mar-08,10.06,10.06,10.06,10.06,7.49,-
20-Mar-08,10.06,10.06,10.06,10.06,7.49,-
24-Mar-08,10.03,10.03,10.03,10.03,7.47,-
25-Mar-08,10.03,10.03,10.03,10.03,7.47,-
26-Mar-08,10.03,10.03,10.03,10.03,7.47,-
27-Mar-08,10.03,10.03,10.03,10.03,7.47,-
28-Mar-08,10.04,10.04,10.04,10.04,7.48,-
31-Mar-08,10.04,10.04,10.04,10.04,7.48,-
01-Apr-08,10.02,10.02,10.02,10.02,7.46,-
02-Apr-08,10.01,10.01,10.01,10.01,7.45,-
03-Apr-08,10.01,10.01,10.01,10.01,7.45,-
04-Apr-08,10.02,10.02,10.02,10.02,7.46,-
07-Apr-08,10.01,10.01,10.01,10.01,7.45,-
08-Apr-08,10.01,10.01,10.01,10.01,7.45,-
09-Apr-08,10.03,10.03,10.03,10.03,7.47,-
10-Apr-08,10.02,10.02,10.02,10.02,7.46,-
11-Apr-08,10.03,10.03,10.03,10.03,7.47,-
14-Apr-08,10.03,10.03,10.03,10.03,7.47,-
15-Apr-08,10.02,10.02,10.02,10.02,7.46,-
16-Apr-08,10.0,10.0,10.0,10.0,7.45,-
17-Apr-08,9.99,9.99,9.99,9.99,7.44,-
18-Apr-08,9.98,9.98,9.98,9.98,7.43,-
21-Apr-08,9.98,9.98,9.98,9.98,7.43,-
22-Apr-08,9.98,9.98,9.98,9.98,7.43,-
23-Apr-08,9.98,9.98,9.98,9.98,7.43,-
24-Apr-08,9.96,9.96,9.96,9.96,7.42,-
25-Apr-08,9.95,9.95,9.95,9.95,7.41,-
28-Apr-08,9.96,9.96,9.96,9.96,7.42,-
29-Apr-08,9.96,9.96,9.96,9.96,7.42,-
30-Apr-08,9.97,9.97,9.97,9.97,7.42,-
01-May-08,9.98,9.98,9.98,9.98,7.43,-
02-May-08,9.97,9.97,9.97,9.97,7.42,-
05-May-08,9.97,9.97,9.97,9.97,7.42,-
06-May-08,9.97,9.97,9.97,9.97,7.42,-
07-May-08,9.98,9.98,9.98,9.98,7.43,-
08-May-08,9.99,9.99,9.99,9.99,7.44,-
09-May-08,10.0,10.0,10.0,10.0,7.45,-
12-May-08,10.0,10.0,10.0,10.0,7.45,-
