Date,Open,High,Low,Close,Adj Close,Volume
02-Jan-08,10.0,10.0,10.0,10.0,5.26,-
03-Jan-08,10.0,10.0,10.0,10.0,5.26,-
04-Jan-08,10.0,10.0,10.0,10.0,5.26,-
07-Jan-08,10.0,10.0,10.0,10.0,5.26,-
08-Jan-08,10.0,10.0,10.0,10.0,5.26,-
09-Jan-08,10.0,10.0,10.0,10.0,5.26,-
10-Jan-08,10.0,10.0,10.0,10.0,5.26,-
11-Jan-08,10.0,10.0,10.0,10.0,5.26,-
14-Jan-08,10.0,10.0,10.0,10.0,5.26,-
15-Jan-08,10.0,10.0,10.0,10.0,5.26,-
16-Jan-08,9.93,9.93,9.93,9.93,5.23,-
17-Jan-08,9.91,9.91,9.91,9.91,5.22,-
18-Jan-08,9.82,9.82,9.82,9.82,5.17,-
22-Jan-08,9.79,9.79,9.79,9.79,5.15,-
23-Jan-08,10.09,10.09,10.09,10.09,5.31,-
24-Jan-08,10.13,10.13,10.13,10.13,5.33,-
25-Jan-08,10.08,10.08,10.08,10.08,5.31,-
28-Jan-08,10.29,10.29,10.29,10.29,5.42,-
29-Jan-08,10.37,10.37,10.37,10.37,5.46,-
30-Jan-08,10.32,10.32,10.32,10.32,5.43,-
31-Jan-08,10.47,10.47,10.47,10.47,5.51,-
01-Feb-08,10.63,10.63,10.63,10.63,5.6,-
04-Feb-08,10.52,10.52,10.52,10.52,5.54,-
05-Feb-08,10.22,10.22,10.22,10.22,5.38,-
06-Feb-08,10.15,10.15,10.15,10.15,5.34,-
07-Feb-08,10.26,10.26,10.26,10.26,5.4,-
08-Feb-08,10.21,10.21,10.21,10.21,5.38,-
11-Feb-08,10.23,10.23,10.23,10.23,5.39,-
12-Feb-08,10.3,10.3,10.3,10.3,5.42,-
13-Feb-08,10.48,10.48,10.48,10.48,5.52,-
14-Feb-08,10.33,10.33,10.33,10.33,5.44,-
15-Feb-08,10.31,10.31,10.31,10.31,5.43,-
19-Feb-08,10.31,10.31,10.31,10.31,5.43,-
20-Feb-08,10.41,10.41,10.41,10.41,5.48,-
21-Feb-08,10.25,10.25,10.25,10.25,5.4,-
22-Feb-08,10.28,10.28,10.28,10.28,5.41,-
25-Feb-08,10.47,10.47,10.47,10.47,5.51,-
26-Feb-08,10.57,10.57,10.57,10.57,5.56,-
27-Feb-08,10.57,10.57,10.57,10.57,5.56,-
28-Feb-08,10.45,10.45,10.45,10.45,5.5,-
29-Feb-08,10.25,10.25,10.25,10.25,5.4,-
03-Mar-08,10.22,10.22,10.22,10.22,5.38,-
04-Mar-08,10.19,10.19,10.19,10.19,5.36,-
05-Mar-08,10.23,10.23,10.23,10.23,5.39,-
06-Mar-08,9.98,9.98,9.98,9.98,5.25,-
07-Mar-08,9.94,9.94,9.94,9.94,5.23,-
10-Mar-08,9.76,9.76,9.76,9.76,5.14,-
11-Mar-08,10.13,10.13,10.13,10.13,5.33,-
12-Mar-08,10.02,10.02,10.02,10.02,5.28,-
13-Mar-08,10.14,10.14,10.14,10.14,5.34,-
14-Mar-08,9.92,9.92,9.92,9.92,5.22,-
17-Mar-08,9.79,9.79,9.79,9.79,5.15,-
18-Mar-08,10.19,10.19,10.19,10.19,5.36,-
19-Mar-08,9.95,9.95,9.95,9.95,5.24,-
20-Mar-08,10.18,10.18,10.18,10.18,5.36,-
24-Mar-08,10.41,10.41,10.41,10.41,5.48,-
25-Mar-08,10.48,10.48,10.48,10.48,5.52,-
26-Mar-08,10.41,10.41,10.41,10.41,5.48,-
27-Mar-08,10.29,10.29,10.29,10.29,5.42,-
28-Mar-08,10.19,10.19,10.19,10.19,5.36,-
31-Mar-08,10.26,10.26,10.26,10.26,5.4,-
01-Apr-08,10.58,10.58,10.58,10.58,5.57,-
02-Apr-08,10.6,10.6,10.6,10.6,5.58,-
03-Apr-08,10.6,10.6,10.6,10.6,5.58,-
04-Apr-08,10.6,10.6,10.6,10.6,5.58,-
07-Apr-08,10.62,10.62,10.62,10.62,5.59,-
08-Apr-08,10.59,10.59,10.59,10.59,5.58,-
09-Apr-08,10.42,10.42,10.42,10.42,5.49,-
10-Apr-08,10.5,10.5,10.5,10.5,5.53,-
11-Apr-08,10.27,10.27,10.27,10.27,5.41,-
14-Apr-08,10.24,10.24,10.24,10.24,5.39,-
15-Apr-08,10.31,10.31,10.31,10.31,5.43,-
16-Apr-08,10.58,10.58,10.58,10.58,5.57,-
17-Apr-08,10.54,10.54,10.54,10.54,5.55,-
18-Apr-08,10.72,10.72,10.72,10.72,5.64,-
21-Apr-08,10.66,10.66,10.66,10.66,5.61,-
22-Apr-08,10.5,10.5,10.5,10.5,5.53,-
23-Apr-08,10.49,10.49,10.49,10.49,5.52,-
24-Apr-08,10.49,10.49,10.49,10.49,5.52,-
25-Apr-08,10.69,10.69,10.69,10.69,5.63,-
28-Apr-08,10.73,10.73,10.73,10.73,5.65,-
29-Apr-08,10.67,10.67,10.67,10.67,5.62,-
30-Apr-08,10.63,10.63,10.63,10.63,5.6,-
01-May-08,10.85,10.85,10.85,10.85,5.71,-
02-May-08,10.83,10.83,10.83,10.83,5.7,-
05-May-08,10.83,10.83,10.83,10.83,5.7,-
06-May-08,10.79,10.79,10.79,10.79,5.68,-
07-May-08,10.7,10.7,10.7,10.7,5.63,-
08-May-08,10.73,10.73,10.73,10.73,5.65,-
09-May-08,10.7,10.7,10.7,10.7,5.63,-
12-May-08,10.87,10.87,10.87,10.87,5.72,-
13-May-08,10.91,10.91,10.91,10.91,5.74,-
14-May-08,10.92,10.92,10.92,10.92,5.75,-
15-May-08,11.03,11.03,11.03,11.03,5.81,-
16-May-08,11.01,11.01,11.01,11.01,5.8,-
19-May-08,11.0,11.0,11.0,11.0,5.79,-
20-May-08,10.94,10.94,10.94,10.94,5.76,-
21-May-08,10.8,10.8,10.8,10.8,5.69,-
22-May-08,10.86,10.86,10.86,10.86,5.72,-
23-May-08,10.7,10.7,10.7,10.7,5.63,-
27-May-08,10.81,10.81,10.81,10.81,5.69,-
28-May-08,10.85,10.85,10.85,10.85,5.71,-
29-May-08,10.94,10.94,10.94,10.94,5.76,-
30-May-08,10.97,10.97,10.97,10.97,5.78,-
02-Jun-08,10.86,10.86,10.86,10.86,5.72,-
03-Jun-08,10.82,10.82,10.82,10.82,5.7,-
04-Jun-08,10.84,10.84,10.84,10.84,5.71,-
05-Jun-08,11.08,11.08,11.08,11.08,5.83,-
06-Jun-08,10.75,10.75,10.75,10.75,5.66,-
09-Jun-08,10.7,10.7,10.7,10.7,5.63,-
10-Jun-08,10.67,10.67,10.67,10.67,5.62,-
11-Jun-08,10.45,10.45,10.45,10.45,5.5,-
12-Jun-08,10.49,10.49,10.49,10.49,5.52,-
13-Jun-08,10.66,10.66,10.66,10.66,5.61,-
16-Jun-08,10.7,10.7,10.7,10.7,5.63,-
17-Jun-08,10.62,10.62,10.62,10.62,5.59,-
18-Jun-08,10.53,10.53,10.53,10.53,5.54,-
19-Jun-08,10.59,10.59,10.59,10.59,5.58,-
20-Jun-08,10.41,10.41,10.41,10.41,5.48,-
23-Jun-08,10.41,10.41,10.41,10.41,5.48,-
24-Jun-08,10.21,10.21,10.21,10.21,5.38,-
25-Jun-08,10.21,10.21,10.21,10.21,5.38,-
26-Jun-08,10.02,10.02,10.02,10.02,5.28,-
27-Jun-08,9.97,9.97,9.97,9.97,5.25,-
