Date,Open,High,Low,Close ,Adj Close ,Volume
25-Aug-26,50.96,51.33,50.97,51.3,51.3,"95,748"
24-Aug-26,50.62,50.62,50.21,50.52,50.52,"105,400"
21-Aug-26,51.43,51.43,51.07,51.19,51.19,"65,700"
20-Aug-26,50.42,50.87,50.42,50.83,50.83,"126,000"
19-Aug-26,50.84,50.84,50.29,50.51,50.51,"133,900"
18-Aug-26,50.42,50.64,49.96,49.99,49.99,"211,100"
17-Aug-26,51.41,51.86,51.4,51.46,51.46,"206,100"
14-Aug-26,51.08,51.29,50.76,51,51,"46,600"
13-Aug-26,50.84,51.18,50.77,51.01,51.01,"190,500"
12-Aug-26,50.96,51,50.69,50.9,50.9,"79,000"
11-Aug-26,50.29,50.34,49.92,50.11,50.11,"61,600"
10-Aug-26,49.79,50.09,49.74,49.93,49.93,"62,400"
7-Aug-26,50.43,50.43,49.81,50.3,50.3,"64,000"
6-Aug-26,49.46,50.18,49.44,49.74,49.74,"129,500"
5-Aug-26,50.39,50.6,50.21,50.25,50.25,"76,700"
4-Aug-26,49.79,50.54,49.79,50.44,50.44,"119,400"
3-Aug-26,48.65,49.3,48.42,49.26,49.26,"176,300"
31-Jul-26,49.52,49.6,48.6,49.03,49.03,"87,200"
30-Jul-26,47.77,48.74,47.73,48.68,48.68,"118,600"
29-Jul-26,47.27,47.99,46.61,46.87,46.87,"92,300"
28-Jul-26,47.39,47.96,47.15,47.67,47.67,"69,000"
27-Jul-26,48.94,48.94,48.01,48.72,48.72,"308,200"
24-Jul-26,48.69,48.9,48.3,48.37,48.37,"103,700"
23-Jul-26,49.08,49.51,48.84,49.35,49.35,"129,000"
22-Jul-26,49.34,49.75,49.34,49.64,49.64,"63,500"
21-Jul-26,49.6,49.96,49.47,49.96,49.96,"81,700"
20-Jul-26,48.73,49,48.4,48.53,48.53,"225,400"
17-Jul-26,47.48,48.72,47.4,48.32,48.32,"326,800"
16-Jul-26,49.12,49.3,48.83,49.03,49.03,"117,700"
15-Jul-26,50.18,50.21,49.35,49.82,49.82,"99,800"
14-Jul-26,49.94,50.17,49.74,50.06,50.06,"166,800"
13-Jul-26,49.62,49.75,49.14,49.27,49.27,"75,900"
10-Jul-26,50.65,51.04,50.46,51.04,51.04,"96,800"
9-Jul-26,50.76,51.02,50.67,50.97,50.97,"155,200"
8-Jul-26,49.66,50.61,49.62,50.61,50.61,"63,000"
7-Jul-26,50.37,50.55,49.83,50.2,50.2,"81,500"
6-Jul-26,51.22,51.65,51.22,51.54,51.54,"55,600"
2-Jul-26,50.61,51.07,49.53,50.21,50.21,"75,800"
1-Jul-26,50.84,51.32,50.57,50.63,50.63,"210,900"
30-Jun-26,51.52,52.15,51.46,52,52,"80,800"
29-Jun-26,51.06,51.4,50.3,51.39,51.39,"92,100"
26-Jun-26,50.32,51.51,50.32,51.27,51.27,"54,200"
25-Jun-26,52.54,52.54,51.29,51.82,51.82,"66,400"
24-Jun-26,51.25,51.42,50.75,51.05,51.05,"79,500"
23-Jun-26,51.2,51.83,51.1,51.15,51.15,"67,800"
22-Jun-26,54.21,54.29,53.96,54.09,54.09,"67,200"
18-Jun-26,53.31,53.9,53.29,53.81,53.81,"98,800"
17-Jun-26,52.94,53.23,52.14,52.24,52.24,"74,300"
16-Jun-26,52.77,52.97,52.24,52.31,52.31,"117,700"
15-Jun-26,53,53.27,52.84,53.24,53.24,"167,000"
12-Jun-26,51.18,51.71,50.93,51.53,51.53,"90,900"
11-Jun-26,49.57,51.35,49.56,51.19,51.19,"133,900"
10-Jun-26,49.52,50.32,49.13,49.18,49.18,"92,100"
9-Jun-26,50.93,50.96,48.61,49.84,49.84,"156,300"
8-Jun-26,50.19,50.29,49.78,49.93,49.93,"110,700"
5-Jun-26,50.63,50.65,48.87,49.08,49.08,"86,800"
4-Jun-26,51.93,52.54,51.71,52.49,52.49,"52,100"
3-Jun-26,53.28,53.28,52.74,53.09,53.09,"65,900"
2-Jun-26,53.27,53.67,53.06,53.65,53.65,"74,000"
1-Jun-26,52.55,53.56,52.35,53.05,53.05,"117,200"
29-May-26,52.09,52.26,51.87,51.99,51.99,"115,100"
28-May-26,51.21,52.09,51.01,51.95,51.95,"161,700"
27-May-26,51.99,52,51.35,51.77,51.77,"77,000"
26-May-26,51.22,51.82,51.22,51.81,51.81,"75,000"
22-May-26,49.97,50.2,49.79,49.89,49.89,"68,300"
21-May-26,49.41,50.24,49.35,50.14,50.14,"82,600"
20-May-26,48.86,49.69,48.85,49.69,49.69,"128,100"
19-May-26,48.19,49.14,48.13,48.76,48.76,"94,900"
18-May-26,49.82,49.82,48.7,49.21,49.21,"60,300"
15-May-26,49.46,49.62,49.11,49.38,49.38,"90,700"
14-May-26,50.74,51.15,50.68,51.14,51.14,"98,400"
13-May-26,50.2,50.99,50.16,50.94,50.94,"165,600"
12-May-26,50.04,50.3,49.17,49.79,49.79,"122,000"
11-May-26,51.31,51.53,51.18,51.41,51.41,"57,600"
8-May-26,50.84,51.37,50.84,51.37,51.37,"92,300"
7-May-26,50.97,50.97,50.21,50.32,50.32,"98,000"
6-May-26,50.47,51.08,50.36,51.03,51.03,"74,900"
5-May-26,49,49.59,49,49.4,49.4,"75,500"
4-May-26,48.65,48.93,48.16,48.51,48.51,"79,800"
1-May-26,48.25,48.88,48.19,48.42,48.42,"66,700"
30-Apr-26,47.74,48.46,47.53,48.2,48.2,"86,300"
29-Apr-26,47.73,47.73,47.31,47.43,47.43,"50,100"
28-Apr-26,47.48,47.75,47.4,47.64,47.64,"41,700"
27-Apr-26,48.36,48.45,48.1,48.1,48.1,"216,300"
24-Apr-26,47.87,48.31,47.79,48.21,48.21,"101,300"
23-Apr-26,47.66,47.83,46.81,47.33,47.33,"53,600"
22-Apr-26,47.75,48.11,47.72,48,48,"66,400"
21-Apr-26,48.08,48.08,47.15,47.16,47.16,"146,200"
20-Apr-26,47.96,48.08,47.76,48.04,48.04,"160,800"
17-Apr-26,48.29,48.81,48.29,48.36,48.36,"154,600"
16-Apr-26,47.51,47.73,47.25,47.46,47.46,"1,809,800"
15-Apr-26,47.25,47.42,47.16,47.34,47.34,"53,700"
14-Apr-26,46.89,47.5,46.89,47.37,47.37,"117,700"
13-Apr-26,45.78,46.6,45.78,46.57,46.57,"66,000"
10-Apr-26,46.26,46.4,46.02,46.2,46.2,"66,900"
9-Apr-26,45.57,46.1,45.34,45.92,45.92,"119,800"
8-Apr-26,46.23,46.26,45.68,46.04,46.04,"89,900"
7-Apr-26,43.47,43.74,42.93,43.66,43.66,"101,300"
6-Apr-26,43.32,43.66,43.32,43.45,43.45,"64,000"
2-Apr-26,42.25,43.42,42.25,43.13,43.13,"106,200"
1-Apr-26,43.45,44.01,43.42,43.62,43.62,"147,600"
31-Mar-26,41.8,43.24,41.8,43.2,43.2,"152,300"
30-Mar-26,42.18,42.18,41.44,41.73,41.73,"241,800"
27-Mar-26,42.14,42.48,41.9,42.02,42.02,"89,200"
26-Mar-26,42.86,43.04,42.22,42.27,42.27,"177,400"
25-Mar-26,43.64,43.93,43.47,43.56,43.56,"53,000"
24-Mar-26,42.74,43.33,42.69,42.92,42.92,"89,800"
23-Mar-26,43.32,44.08,43.1,43.77,43.77,"105,500"
20-Mar-26,43.33,43.38,42.24,42.44,42.44,"149,800"
19-Mar-26,42.98,44.1,42.9,43.84,43.84,"204,200"
18-Mar-26,44.23,44.42,43.82,43.82,43.82,"338,700"
17-Mar-26,44.44,44.73,44.4,44.51,44.51,"213,200"
16-Mar-26,43.98,44.43,43.93,44.22,44.22,"283,400"
13-Mar-26,43.72,44.15,43,43.12,43.12,"184,800"
12-Mar-26,43.92,43.93,43.12,43.17,43.17,"312,200"
11-Mar-26,44.43,44.82,44.26,44.56,44.56,"116,800"
10-Mar-26,44.49,45.39,44.29,44.49,44.49,"237,500"
9-Mar-26,43.04,44.49,42.73,44.31,44.31,"238,500"
6-Mar-26,43.19,43.76,43.02,43.56,43.56,"177,400"
5-Mar-26,44.13,44.53,43.24,43.84,43.84,"203,400"
4-Mar-26,44.55,45.29,44.39,44.83,44.83,"736,700"
3-Mar-26,44.16,44.74,43.29,44.49,44.49,"241,300"
2-Mar-26,46.28,47.04,46.28,46.75,46.75,"217,700"
27-Feb-26,47.37,47.71,47.31,47.59,47.59,"167,300"
26-Feb-26,48.23,48.23,47.33,47.84,47.84,"126,600"
25-Feb-26,48.21,48.25,47.96,48.24,48.24,"123,600"
24-Feb-26,47.36,47.8,47.29,47.67,47.67,"104,200"
23-Feb-26,47.32,47.43,46.86,46.98,46.98,"122,200"
20-Feb-26,46.56,47.47,46.49,47.46,47.46,"96,900"
19-Feb-26,46.42,46.55,46.2,46.54,46.54,"109,800"
