Date,Open,High,Low,Close,Adj Close,Volume
10-Nov-15,24.64,24.79,24.64,24.76,18.72,"16,4"
11-Nov-15,24.88,24.95,24.84,24.91,18.83,"14,200"
12-Nov-15,24.64,24.72,24.58,24.58,18.58,"21,000"
13-Nov-15,24.49,24.49,24.42,24.48,18.5,"7,100"
16-Nov-15,24.44,24.68,24.43,24.64,18.62,"8,100"
17-Nov-15,25.05,25.05,24.68,24.71,18.68,"3,300"
18-Nov-15,24.84,24.84,24.78,24.83,18.77,"942,100"
19-Nov-15,25.04,25.12,25.04,25.05,18.93,"13,900"
20-Nov-15,25.09,25.09,24.94,24.95,18.86,"19,000"
23-Nov-15,25.27,25.27,24.86,24.87,18.8,"1,400"
24-Nov-15,24.66,24.76,24.66,24.73,18.69,"26,200"
25-Nov-15,24.9,24.92,24.88,24.92,18.84,"8,000"
27-Nov-15,24.87,24.87,24.8,24.81,18.75,"7,500"
30-Nov-15,24.83,24.94,24.83,24.92,18.84,"91,600"
01-Dec-15,25.02,25.17,25.02,25.17,19.02,"13,800"
02-Dec-15,24.91,24.91,24.91,24.91,18.83,200
03-Dec-15,24.93,24.95,24.7,24.7,18.67,"10,100"
04-Dec-15,24.75,24.94,24.75,24.86,18.79,"38,000"
07-Dec-15,24.68,24.75,24.68,24.72,18.68,"1,700"
08-Dec-15,24.44,24.45,24.31,24.39,18.44,"9,600"
09-Dec-15,24.58,24.58,24.24,24.25,18.33,800
10-Dec-15,24.35,24.37,24.25,24.25,18.33,"8,100"
11-Dec-15,23.9,23.93,23.81,23.89,18.06,"11,400"
14-Dec-15,23.96,23.99,23.85,23.99,18.13,"5,000"
15-Dec-15,24.06,24.15,23.96,24.05,18.18,"13,100"
16-Dec-15,24.22,24.51,24.16,24.51,18.53,"2,000"
17-Dec-15,24.36,24.38,24.31,24.31,18.38,"4,100"
18-Dec-15,24.03,24.08,23.95,23.99,18.13,"165,500"
21-Dec-15,24.07,24.15,23.94,23.98,18.13,"100,600"
22-Dec-15,24.4,24.4,24.08,24.18,18.28,"11,600"
23-Dec-15,24.79,24.79,24.45,24.56,18.59,"9,100"
24-Dec-15,24.59,24.67,24.41,24.56,18.59,"26,500"
28-Dec-15,24.46,24.5,24.34,24.49,18.54,"6,100"
29-Dec-15,24.63,24.76,24.61,24.7,18.69,"41,200"
30-Dec-15,24.61,24.85,24.53,24.56,18.59,"28,000"
31-Dec-15,24.33,24.56,24.3,24.3,18.39,"25,100"
04-Jan-16,23.7,23.97,23.7,23.97,18.14,"1,000"
05-Jan-16,23.74,23.95,23.74,23.95,18.13,"19,800"
06-Jan-16,23.57,23.57,23.45,23.45,17.75,"2,800"
07-Jan-16,23.08,23.16,22.95,23.07,17.46,"21,800"
08-Jan-16,23.57,23.57,22.89,22.89,17.32,"19,500"
11-Jan-16,23.08,23.08,22.72,22.84,17.29,"3,300"
12-Jan-16,22.93,23.16,22.8,22.94,17.36,"13,300"
13-Jan-16,22.99,23.08,22.6,22.6,17.1,"13,800"
14-Jan-16,22.84,23.06,22.68,23.06,17.45,"1,300"
15-Jan-16,22.31,22.31,22.04,22.24,16.83,"228,900"
19-Jan-16,22.17,22.39,22.17,22.34,16.91,"30,100"
20-Jan-16,21.81,22.14,21.48,22.1,16.73,"501,600"
21-Jan-16,21.84,22.22,21.84,22.18,16.79,"197,000"
22-Jan-16,22.64,22.75,22.58,22.75,17.22,"37,500"
25-Jan-16,22.33,22.72,22.33,22.5,17.03,"42,600"
26-Jan-16,22.64,22.88,22.64,22.77,17.23,"296,900"
27-Jan-16,22.84,23.12,22.65,22.76,17.23,"11,100"
28-Jan-16,23.2,23.2,22.8,22.96,17.38,"30,500"
29-Jan-16,23.14,23.4,23.01,23.4,17.71,"6,400"
01-Feb-16,23.07,23.4,23.06,23.34,17.66,"24,500"
02-Feb-16,23.31,23.31,22.73,22.84,17.29,"91,800"
03-Feb-16,22.75,23.06,22.75,23.06,17.45,"12,400"
04-Feb-16,22.9,23.05,22.9,23.03,17.43,"1,700"
05-Feb-16,22.89,22.98,22.57,22.71,17.19,"12,000"
08-Feb-16,22.59,22.59,22.06,22.26,16.85,"18,900"
09-Feb-16,22.05,22.2,22.0,22.2,16.8,"246,000"
10-Feb-16,22.48,22.48,22.09,22.19,16.79,"16,600"
11-Feb-16,22.18,22.18,21.6,21.85,16.54,"6,700"
12-Feb-16,22.05,22.05,21.7,21.91,16.58,"1,800"
16-Feb-16,22.49,22.5,22.37,22.5,17.03,"41,800"
17-Feb-16,22.18,22.95,22.18,22.95,17.37,"12,200"
18-Feb-16,23.0,23.08,22.7,23.04,17.44,"5,300"
19-Feb-16,22.62,22.81,22.62,22.81,17.26,"5,100"
22-Feb-16,23.14,23.14,23.06,23.13,17.51,"8,800"
23-Feb-16,22.89,22.89,22.75,22.75,17.22,"5,900"
24-Feb-16,22.3,22.77,22.28,22.77,17.23,"255,100"
25-Feb-16,22.74,22.99,22.74,22.98,17.39,"6,100"
26-Feb-16,23.04,23.09,22.85,22.85,17.29,"238,800"
29-Feb-16,22.81,22.98,22.79,22.79,17.25,"34,200"
