Date,Open,High,Low,Close,Adj Close,Volume
30-Apr-15,29.5,29.5,29.15,29.15,25.52,"3,1"
01-May-15,29.47,29.47,29.47,29.47,25.8,200
04-May-15,29.75,29.75,29.75,29.75,26.04,100
05-May-15,29.25,29.25,29.25,29.25,25.61,100
06-May-15,29.3,29.3,29.23,29.23,25.59,"2,000"
07-May-15,29.23,29.23,29.23,29.23,25.59,-
08-May-15,29.67,29.75,29.67,29.75,26.04,900
11-May-15,29.75,29.75,29.75,29.75,26.04,-
12-May-15,29.75,29.75,29.75,29.75,26.04,-
13-May-15,29.75,29.75,29.75,29.75,26.04,-
14-May-15,29.75,29.75,29.75,29.75,26.04,-
15-May-15,29.75,29.75,29.75,29.75,26.04,-
18-May-15,29.75,29.75,29.75,29.75,26.04,-
19-May-15,29.75,29.75,29.75,29.75,26.04,-
20-May-15,29.75,29.75,29.75,29.75,26.04,-
21-May-15,29.75,29.75,29.75,29.75,26.04,-
22-May-15,29.75,29.75,29.75,29.75,26.04,-
26-May-15,30.02,30.02,30.02,30.02,26.28,200
27-May-15,30.02,30.02,30.02,30.02,26.28,-
28-May-15,30.47,30.47,30.42,30.42,26.63,500
29-May-15,30.42,30.42,30.42,30.42,26.63,-
01-Jun-15,30.42,30.42,30.42,30.42,26.63,-
02-Jun-15,30.51,30.51,30.51,30.51,26.71,100
03-Jun-15,30.51,30.51,30.51,30.51,26.71,-
04-Jun-15,30.52,30.52,30.51,30.51,26.71,400
05-Jun-15,30.51,30.51,30.51,30.51,26.71,-
08-Jun-15,30.51,30.51,30.51,30.51,26.71,-
09-Jun-15,30.34,30.34,30.34,30.34,26.57,200
10-Jun-15,30.34,30.34,30.34,30.34,26.57,-
11-Jun-15,30.34,30.34,30.34,30.34,26.57,-
12-Jun-15,30.34,30.34,30.34,30.34,26.57,-
15-Jun-15,30.67,30.67,30.67,30.67,26.85,100
16-Jun-15,30.67,30.67,30.67,30.67,26.85,-
17-Jun-15,30.84,30.84,30.79,30.79,26.96,400
18-Jun-15,30.79,30.79,30.79,30.79,26.96,-
19-Jun-15,31.21,31.26,31.21,31.26,27.37,"4,100"
22-Jun-15,31.32,31.39,31.32,31.39,27.48,"1,400"
23-Jun-15,31.39,31.39,31.39,31.39,27.48,100
24-Jun-15,31.15,31.15,31.15,31.15,27.31,400
25-Jun-15,31.15,31.15,31.15,31.15,27.31,-
26-Jun-15,31.06,31.06,31.06,31.06,27.23,300
29-Jun-15,30.81,30.81,30.4,30.41,26.66,800
30-Jun-15,30.41,30.48,30.4,30.44,26.68,"1,400"
01-Jul-15,30.44,30.44,30.44,30.44,26.68,-
02-Jul-15,30.44,30.44,30.44,30.44,26.68,-
06-Jul-15,30.34,30.34,30.34,30.34,26.6,-
07-Jul-15,30.72,30.73,30.1,30.1,26.39,"1,100"
08-Jul-15,30.27,30.27,30.27,30.27,26.53,400
09-Jul-15,30.22,30.31,30.22,30.27,26.53,"1,000"
10-Jul-15,30.27,30.27,30.27,30.27,26.53,-
13-Jul-15,30.86,30.86,30.77,30.77,26.97,"1,600"
14-Jul-15,30.77,30.77,30.77,30.77,26.97,-
15-Jul-15,30.91,30.91,30.91,30.91,27.1,300
16-Jul-15,30.91,30.91,30.91,30.91,27.1,-
17-Jul-15,30.92,30.92,30.92,30.92,27.1,500
20-Jul-15,30.92,30.92,30.92,30.92,27.1,-
21-Jul-15,30.57,30.57,30.57,30.57,26.8,100
22-Jul-15,30.57,30.57,30.57,30.57,26.8,-
23-Jul-15,30.57,30.57,30.57,30.57,26.8,-
24-Jul-15,30.57,30.57,30.57,30.57,26.8,-
27-Jul-15,30.57,30.57,30.57,30.57,26.8,-
28-Jul-15,30.21,30.21,30.21,30.21,26.48,100
29-Jul-15,30.45,30.5,30.45,30.5,26.74,600
30-Jul-15,30.43,30.43,30.43,30.43,26.67,300
31-Jul-15,30.75,30.92,30.75,30.92,27.1,"1,200"
03-Aug-15,30.92,30.92,30.92,30.92,27.1,-
04-Aug-15,30.69,30.69,30.65,30.65,26.87,400
05-Aug-15,30.77,30.77,30.77,30.77,26.97,300
06-Aug-15,30.55,30.55,30.38,30.38,26.63,500
07-Aug-15,30.29,30.29,30.2,30.23,26.5,"1,200"
10-Aug-15,30.23,30.23,30.23,30.23,26.5,-
11-Aug-15,30.23,30.23,30.23,30.23,26.5,-
12-Aug-15,30.0,30.0,30.0,30.0,26.3,200
13-Aug-15,30.0,30.0,30.0,30.0,26.3,-
14-Aug-15,30.0,30.0,30.0,30.0,26.3,-
17-Aug-15,30.0,30.0,30.0,30.0,26.3,-
18-Aug-15,30.65,30.65,30.65,30.65,26.86,200
19-Aug-15,30.28,30.28,30.28,30.28,26.55,600
20-Aug-15,30.28,30.28,30.28,30.28,26.55,-
21-Aug-15,29.97,29.97,29.4,29.55,25.9,"3,300"
24-Aug-15,27.99,27.99,27.73,27.73,24.31,400
25-Aug-15,28.58,28.58,28.58,28.58,25.05,200
26-Aug-15,28.1,28.1,28.09,28.09,24.62,"1,100"
27-Aug-15,29.25,29.26,29.25,29.26,25.65,500
28-Aug-15,29.18,29.28,29.12,29.28,25.67,"1,300"
31-Aug-15,29.24,29.32,29.24,29.32,25.7,300
01-Sep-15,28.44,28.44,28.44,28.44,24.93,100
02-Sep-15,28.67,28.67,28.67,28.67,25.13,300
03-Sep-15,29.05,29.05,29.0,29.0,25.42,400
04-Sep-15,29.0,29.0,29.0,29.0,25.42,-
08-Sep-15,29.14,29.33,29.14,29.33,25.71,"1,300"
09-Sep-15,29.33,29.44,29.21,29.28,25.67,"1,500"
10-Sep-15,29.1,29.33,29.08,29.12,25.53,"3,000"
11-Sep-15,29.0,29.03,28.97,28.98,25.4,"9,900"
14-Sep-15,28.98,28.98,28.98,28.98,25.4,-
15-Sep-15,28.98,28.98,28.98,28.98,25.4,-
16-Sep-15,29.55,29.68,29.55,29.68,26.02,300
17-Sep-15,29.85,30.1,29.81,29.81,26.13,"2,100"
18-Sep-15,29.81,29.81,29.81,29.81,26.13,-
21-Sep-15,29.81,29.81,29.81,29.81,26.13,-
22-Sep-15,29.81,29.81,29.81,29.81,26.13,-
23-Sep-15,29.13,29.13,29.0,29.0,25.42,300
24-Sep-15,29.0,29.0,29.0,29.0,25.42,-
25-Sep-15,29.0,29.0,29.0,29.0,25.49,-
28-Sep-15,29.0,29.0,29.0,29.0,25.49,-
29-Sep-15,29.0,29.0,29.0,29.0,25.49,-
30-Sep-15,28.17,28.19,28.12,28.18,24.77,"2,300"
01-Oct-15,28.15,28.23,28.15,28.22,24.81,"2,200"
02-Oct-15,28.22,28.22,28.22,28.22,24.81,-
05-Oct-15,29.07,29.07,29.0,29.0,25.49,"3,400"
06-Oct-15,29.0,29.0,29.0,29.0,25.49,-
07-Oct-15,29.0,29.0,29.0,29.0,25.49,-
08-Oct-15,29.0,29.0,29.0,29.0,25.49,-
09-Oct-15,29.0,29.0,29.0,29.0,25.49,-
12-Oct-15,29.0,29.0,29.0,29.0,25.49,-
13-Oct-15,29.51,29.51,29.51,29.51,25.94,"1,900"
14-Oct-15,29.55,29.55,29.33,29.35,25.8,"22,000"
15-Oct-15,29.35,29.35,29.35,29.35,25.8,-
16-Oct-15,29.35,29.35,29.35,29.35,25.8,-
19-Oct-15,29.74,29.77,29.73,29.73,26.13,700
20-Oct-15,29.76,29.76,29.76,29.76,26.16,100
21-Oct-15,29.76,29.76,29.76,29.76,26.16,-
22-Oct-15,29.26,29.26,29.25,29.25,25.71,400
23-Oct-15,29.6,29.64,29.53,29.53,25.96,"3,100"
26-Oct-15,29.54,29.59,29.53,29.59,26.01,"2,700"
27-Oct-15,29.54,29.54,29.48,29.52,25.95,"1,000"
28-Oct-15,29.52,29.52,29.52,29.52,25.95,"1,800"
29-Oct-15,29.52,29.52,29.52,29.52,25.95,-
30-Oct-15,29.67,29.67,29.67,29.67,26.08,200
02-Nov-15,29.76,30.19,29.76,30.19,26.54,900
03-Nov-15,30.19,30.19,30.19,30.19,26.54,-
04-Nov-15,30.19,30.19,30.19,30.19,26.54,-
05-Nov-15,30.19,30.19,30.19,30.19,26.54,-
06-Nov-15,30.39,30.39,30.39,30.39,26.71,300
09-Nov-15,30.39,30.39,30.0,30.0,26.37,600
10-Nov-15,30.16,30.16,30.15,30.15,26.5,200
11-Nov-15,30.15,30.15,30.15,30.15,26.5,-
12-Nov-15,29.51,29.51,29.47,29.48,25.91,800
13-Nov-15,29.48,29.48,29.48,29.48,25.91,-
16-Nov-15,29.42,29.42,29.42,29.42,25.86,300
17-Nov-15,29.42,29.42,29.42,29.42,25.86,-
18-Nov-15,29.42,29.42,29.42,29.42,25.86,-
19-Nov-15,29.42,29.42,29.42,29.42,25.86,-
20-Nov-15,30.06,30.06,30.06,30.06,26.42,200
23-Nov-15,30.16,30.16,30.16,30.16,26.51,700
24-Nov-15,30.16,30.16,30.16,30.16,26.51,-
25-Nov-15,30.16,30.16,30.16,30.16,26.51,-
27-Nov-15,28.97,28.97,28.97,28.97,25.47,-
30-Nov-15,28.97,28.97,28.97,28.97,25.47,-
01-Dec-15,28.97,28.97,28.97,28.97,25.47,-
02-Dec-15,30.63,30.63,30.63,30.63,26.92,200
03-Dec-15,30.63,30.63,30.63,30.63,26.92,-
04-Dec-15,30.63,30.63,30.63,30.63,26.92,-
07-Dec-15,30.63,30.63,30.63,30.63,26.92,-
08-Dec-15,29.8,29.8,29.7,29.73,26.13,500
09-Dec-15,29.65,29.65,29.35,29.35,25.8,"1,000"
10-Dec-15,29.5,29.59,29.48,29.59,26.01,"1,500"
11-Dec-15,29.03,29.03,29.03,29.03,25.52,300
14-Dec-15,28.72,28.94,28.72,28.8,25.32,"7,500"
15-Dec-15,29.09,29.09,29.09,29.09,25.57,100
16-Dec-15,29.09,29.09,29.09,29.09,25.57,-
17-Dec-15,29.29,29.42,29.28,29.4,25.84,"1,100"
18-Dec-15,29.19,29.28,29.0,29.0,25.49,"1,600"
21-Dec-15,29.19,29.19,28.98,29.01,25.5,"2,300"
22-Dec-15,29.07,29.35,29.05,29.35,25.8,"1,400"
23-Dec-15,29.68,29.68,29.68,29.68,26.09,100
24-Dec-15,29.68,29.68,29.68,29.68,26.19,-
28-Dec-15,29.47,29.47,29.41,29.41,25.95,"1,800"
29-Dec-15,29.68,29.68,29.68,29.68,26.19,100
30-Dec-15,29.76,29.99,29.65,29.69,26.2,"88,400"
31-Dec-15,29.32,29.62,29.32,29.61,26.13,"40,900"
04-Jan-16,28.39,28.52,28.36,28.52,25.17,"1,200"
05-Jan-16,28.52,28.52,28.52,28.52,25.17,-
06-Jan-16,28.52,28.52,28.52,28.52,25.17,-
07-Jan-16,28.01,28.01,28.01,28.01,24.72,100
08-Jan-16,27.61,28.16,27.61,28.05,24.75,"6,800"
