Date,Open,High,Low,Close ,Adj Close ,Volume
13-Nov-00,19.4,19.4,19.4,19.4,9.37,-
14-Nov-00,19.71,19.71,19.71,19.71,9.52,-
15-Nov-00,19.79,19.79,19.79,19.79,9.56,-
16-Nov-00,19.62,19.62,19.62,19.62,9.48,-
17-Nov-00,19.55,19.55,19.55,19.55,9.44,-
20-Nov-00,19.29,19.29,19.29,19.29,9.32,-
21-Nov-00,19.28,19.28,19.28,19.28,9.31,-
22-Nov-00,19.08,19.08,19.08,19.08,9.22,-
24-Nov-00,19.3,19.3,19.3,19.3,9.32,-
27-Nov-00,19.33,19.33,19.33,19.33,9.34,-
28-Nov-00,19.17,19.17,19.17,19.17,9.26,-
29-Nov-00,19.2,19.2,19.2,19.2,9.27,-
30-Nov-00,19.01,19.01,19.01,19.01,9.18,-
1-Dec-00,19.05,19.05,19.05,19.05,9.2,-
4-Dec-00,19.1,19.1,19.1,19.1,9.23,-
5-Dec-00,19.62,19.62,19.62,19.62,9.48,-
6-Dec-00,19.46,19.46,19.46,19.46,9.4,-
7-Dec-00,19.4,19.4,19.4,19.4,9.37,-
8-Dec-00,19.7,19.7,19.7,19.7,9.52,-
11-Dec-00,19.84,19.84,19.84,19.84,9.58,-
12-Dec-00,19.73,19.73,19.73,19.73,9.53,-
13-Dec-00,19.62,19.62,19.62,19.62,9.48,-
14-Dec-00,19.45,19.45,19.45,19.45,9.4,-
15-Dec-00,19.24,19.24,19.24,19.24,9.29,-
18-Dec-00,19.33,19.33,19.33,19.33,9.34,-
19-Dec-00,19.15,19.15,19.15,19.15,9.25,-
20-Dec-00,18.8,18.8,18.8,18.8,9.08,-
21-Dec-00,18.87,18.87,18.87,18.87,9.12,-
22-Dec-00,18.92,18.92,18.92,18.92,9.14,-
26-Dec-00,18.98,18.98,18.98,18.98,9.17,-
27-Dec-00,19.11,19.11,19.11,19.11,9.23,-
28-Dec-00,19.21,19.21,19.21,19.21,9.28,-
29-Dec-00,19.08,19.08,19.08,19.08,9.22,-
2-Jan-01,18.76,18.76,18.76,18.76,9.06,-
3-Jan-01,19.3,19.3,19.3,19.3,9.32,-
4-Jan-01,19.19,19.19,19.19,19.19,9.27,-
5-Jan-01,18.9,18.9,18.9,18.9,9.13,-
8-Jan-01,18.88,18.88,18.88,18.88,9.12,-
9-Jan-01,18.92,18.92,18.92,18.92,9.14,-
10-Jan-01,19.06,19.06,19.06,19.06,9.21,-
11-Jan-01,19.2,19.2,19.2,19.2,9.27,-
12-Jan-01,19.12,19.12,19.12,19.12,9.24,-
16-Jan-01,19.22,19.22,19.22,19.22,9.28,-
17-Jan-01,19.29,19.29,19.29,19.29,9.32,-
18-Jan-01,19.45,19.45,19.45,19.45,9.4,-
19-Jan-01,19.36,19.36,19.36,19.36,9.35,-
22-Jan-01,19.36,19.36,19.36,19.36,9.35,-
23-Jan-01,19.53,19.53,19.53,19.53,9.43,-
24-Jan-01,19.57,19.57,19.57,19.57,9.45,-
25-Jan-01,19.5,19.5,19.5,19.5,9.42,-
26-Jan-01,19.5,19.5,19.5,19.5,9.42,-
29-Jan-01,19.6,19.6,19.6,19.6,9.47,-
30-Jan-01,19.71,19.71,19.71,19.71,9.52,-
31-Jan-01,19.66,19.66,19.66,19.66,9.5,-
1-Feb-01,19.74,19.74,19.74,19.74,9.54,-
2-Feb-01,19.49,19.49,19.49,19.49,9.41,-
5-Feb-01,19.51,19.51,19.51,19.51,9.42,-
6-Feb-01,19.51,19.51,19.51,19.51,9.42,-
7-Feb-01,19.42,19.42,19.42,19.42,9.38,-
8-Feb-01,19.34,19.34,19.34,19.34,9.34,-
9-Feb-01,19.21,19.21,19.21,19.21,9.28,-
12-Feb-01,19.32,19.32,19.32,19.32,9.33,-
13-Feb-01,19.21,19.21,19.21,19.21,9.28,-
14-Feb-01,19.19,19.19,19.19,19.19,9.27,-
15-Feb-01,19.28,19.28,19.28,19.28,9.31,-
16-Feb-01,19.1,19.1,19.1,19.1,9.23,-
20-Feb-01,18.89,18.89,18.89,18.89,9.12,-
21-Feb-01,18.69,18.69,18.69,18.69,9.03,-
22-Feb-01,18.64,18.64,18.64,18.64,9,-
23-Feb-01,18.61,18.61,18.61,18.61,8.99,-
26-Feb-01,18.84,18.84,18.84,18.84,9.1,-
27-Feb-01,18.75,18.75,18.75,18.75,9.06,-
28-Feb-01,18.61,18.61,18.61,18.61,8.99,-
1-Mar-01,18.63,18.63,18.63,18.63,9,-
2-Mar-01,18.55,18.55,18.55,18.55,8.96,-
5-Mar-01,18.61,18.61,18.61,18.61,8.99,-
6-Mar-01,18.72,18.72,18.72,18.72,9.04,-
7-Mar-01,18.81,18.81,18.81,18.81,9.09,-
8-Mar-01,18.82,18.82,18.82,18.82,9.09,-
9-Mar-01,18.54,18.54,18.54,18.54,8.96,-
12-Mar-01,18.09,18.09,18.09,18.09,8.74,-
13-Mar-01,18.24,18.24,18.24,18.24,8.81,-
14-Mar-01,18.02,18.02,18.02,18.02,8.7,-
15-Mar-01,18.07,18.07,18.07,18.07,8.73,-
16-Mar-01,17.7,17.7,17.7,17.7,8.55,-
19-Mar-01,17.87,17.87,17.87,17.87,8.63,-
20-Mar-01,17.64,17.64,17.64,17.64,8.52,-
21-Mar-01,17.47,17.47,17.47,17.47,8.44,-
22-Mar-01,17.44,17.44,17.44,17.44,8.42,-
23-Mar-01,17.62,17.62,17.62,17.62,8.51,-
26-Mar-01,17.72,17.72,17.72,17.72,8.56,-
27-Mar-01,17.93,17.93,17.93,17.93,8.66,-
28-Mar-01,17.67,17.67,17.67,17.67,8.54,-
29-Mar-01,17.63,17.63,17.63,17.63,8.52,-
30-Mar-01,17.77,17.77,17.77,17.77,8.58,-
2-Apr-01,17.6,17.6,17.6,17.6,8.5,-
3-Apr-01,17.24,17.24,17.24,17.24,8.33,-
4-Apr-01,17.21,17.21,17.21,17.21,8.31,-
5-Apr-01,17.65,17.65,17.65,17.65,8.53,-
6-Apr-01,17.47,17.47,17.47,17.47,8.44,-
9-Apr-01,17.55,17.55,17.55,17.55,8.48,-
10-Apr-01,17.8,17.8,17.8,17.8,8.6,-
11-Apr-01,17.78,17.78,17.78,17.78,8.59,-
12-Apr-01,17.93,17.93,17.93,17.93,8.66,-
16-Apr-01,17.86,17.86,17.86,17.86,8.63,-
17-Apr-01,17.99,17.99,17.99,17.99,8.69,-
18-Apr-01,18.44,18.44,18.44,18.44,8.91,-
19-Apr-01,18.57,18.57,18.57,18.57,8.97,-
20-Apr-01,18.47,18.47,18.47,18.47,8.92,-
23-Apr-01,18.32,18.32,18.32,18.32,8.85,-
24-Apr-01,18.2,18.2,18.2,18.2,8.79,-
25-Apr-01,18.37,18.37,18.37,18.37,8.87,-
26-Apr-01,18.45,18.45,18.45,18.45,8.91,-
27-Apr-01,18.58,18.58,18.58,18.58,8.98,-
30-Apr-01,18.59,18.59,18.59,18.59,8.98,-
1-May-01,18.76,18.76,18.76,18.76,9.06,-
2-May-01,18.8,18.8,18.8,18.8,9.08,-
3-May-01,18.65,18.65,18.65,18.65,9.01,-
4-May-01,18.82,18.82,18.82,18.82,9.09,-
7-May-01,18.79,18.79,18.79,18.79,9.08,-
8-May-01,18.77,18.77,18.77,18.77,9.07,-
9-May-01,18.74,18.74,18.74,18.74,9.05,-
10-May-01,18.7,18.7,18.7,18.7,9.03,-
11-May-01,18.56,18.56,18.56,18.56,8.97,-
14-May-01,18.59,18.59,18.59,18.59,8.98,-
15-May-01,18.6,18.6,18.6,18.6,8.98,-
16-May-01,18.92,18.92,18.92,18.92,9.14,-
17-May-01,18.99,18.99,18.99,18.99,9.17,-
18-May-01,19.03,19.03,19.03,19.03,9.19,-
21-May-01,19.25,19.25,19.25,19.25,9.3,-
22-May-01,19.23,19.23,19.23,19.23,9.29,-
