Date,Open,High,Low,Close,Adj Close,Volume
29-Mar-85,10,10.0,10.0,10.0,0.89,-
1-Apr-85,10,10.0,10.0,10.0,0.89,-
2-Apr-85,10.02,10.02,10.02,10.02,0.89,-
3-Apr-85,10,10.0,10.0,10.0,0.89,-
4-Apr-85,10,10.0,10.0,10.0,0.89,-
8-Apr-85,10,10.0,10.0,10.0,0.89,-
9-Apr-85,10.01,10.01,10.01,10.01,0.89,-
10-Apr-85,10.06,10.06,10.06,10.06,0.9,-
11-Apr-85,10.08,10.08,10.08,10.08,0.9,-
12-Apr-85,10.08,10.08,10.08,10.08,0.9,-
15-Apr-85,10.08,10.08,10.08,10.08,0.9,-
16-Apr-85,10.09,10.09,10.09,10.09,0.9,-
17-Apr-85,10.1,10.1,10.1,10.1,0.9,-
18-Apr-85,10.1,10.1,10.1,10.1,0.9,-
19-Apr-85,10.1,10.1,10.1,10.1,0.9,-
22-Apr-85,10.09,10.09,10.09,10.09,0.9,-
23-Apr-85,10.09,10.09,10.09,10.09,0.9,-
24-Apr-85,10.1,10.1,10.1,10.1,0.9,-
25-Apr-85,10.12,10.12,10.12,10.12,0.9,-
26-Apr-85,10.09,10.09,10.09,10.09,0.9,-
29-Apr-85,10.06,10.06,10.06,10.06,0.9,-
30-Apr-85,10.26,10.26,10.26,10.26,0.92,-
1-May-85,10.05,10.05,10.05,10.05,0.9,-
2-May-85,10.07,10.07,10.07,10.07,0.9,-
3-May-85,10.11,10.11,10.11,10.11,0.9,-
6-May-85,10.12,10.12,10.12,10.12,0.9,-
7-May-85,10.16,10.16,10.16,10.16,0.91,-
8-May-85,10.13,10.13,10.13,10.13,0.9,-
9-May-85,10.16,10.16,10.16,10.16,0.91,-
10-May-85,10.23,10.23,10.23,10.23,0.91,-
13-May-85,10.23,10.23,10.23,10.23,0.91,-
14-May-85,10.22,10.22,10.22,10.22,0.91,-
15-May-85,10.24,10.24,10.24,10.24,0.91,-
16-May-85,10.27,10.27,10.27,10.27,0.92,-
17-May-85,10.32,10.32,10.32,10.32,0.92,-
20-May-85,10.39,10.39,10.39,10.39,0.93,-
21-May-85,10.4,10.4,10.4,10.4,0.93,-
22-May-85,10.35,10.35,10.35,10.35,0.92,-
23-May-85,10.33,10.33,10.33,10.33,0.92,-
24-May-85,10.36,10.36,10.36,10.36,0.92,-
28-May-85,10.4,10.4,10.4,10.4,0.93,-
29-May-85,10.38,10.38,10.38,10.38,0.93,-
30-May-85,10.38,10.38,10.38,10.38,0.93,-
31-May-85,10.4,10.4,10.4,10.4,0.93,-
3-Jun-85,10.4,10.4,10.4,10.4,0.93,-
4-Jun-85,10.44,10.44,10.44,10.44,0.93,-
5-Jun-85,10.49,10.49,10.49,10.49,0.94,-
6-Jun-85,10.5,10.5,10.5,10.5,0.94,-
7-Jun-85,10.45,10.45,10.45,10.45,0.93,-
10-Jun-85,10.45,10.45,10.45,10.45,0.93,-
11-Jun-85,10.45,10.45,10.45,10.45,0.93,-
12-Jun-85,10.43,10.43,10.43,10.43,0.93,-
13-Jun-85,10.39,10.39,10.39,10.39,0.93,-
14-Jun-85,10.46,10.46,10.46,10.46,0.93,-
17-Jun-85,10.45,10.45,10.45,10.45,0.93,-
18-Jun-85,10.48,10.48,10.48,10.48,0.94,-
19-Jun-85,10.44,10.44,10.44,10.44,0.93,-
20-Jun-85,10.43,10.43,10.43,10.43,0.93,-
21-Jun-85,10.46,10.46,10.46,10.46,0.93,-
24-Jun-85,10.45,10.45,10.45,10.45,0.93,-
25-Jun-85,10.46,10.46,10.46,10.46,0.93,-
26-Jun-85,10.47,10.47,10.47,10.47,0.93,-
27-Jun-85,10.51,10.51,10.51,10.51,0.94,-
28-Jun-85,10.56,10.56,10.56,10.56,0.94,-
1-Jul-85,10.6,10.6,10.6,10.6,0.95,-
2-Jul-85,10.59,10.59,10.59,10.59,0.95,-
3-Jul-85,10.58,10.58,10.58,10.58,0.94,-
5-Jul-85,10.63,10.63,10.63,10.63,0.95,-
8-Jul-85,10.61,10.61,10.61,10.61,0.95,-
9-Jul-85,10.59,10.59,10.59,10.59,0.95,-
10-Jul-85,10.62,10.62,10.62,10.62,0.95,-
11-Jul-85,10.61,10.61,10.61,10.61,0.95,-
12-Jul-85,10.63,10.63,10.63,10.63,0.95,-
15-Jul-85,10.62,10.62,10.62,10.62,0.95,-
16-Jul-85,10.65,10.65,10.65,10.65,0.95,-
