Date,Open,High,Low,Close,Adj Close,Volume
30-Sep-94,10.08,10.08,10.08,10.08,3.42,-
3-Oct-94,10.08,10.08,10.08,10.08,3.42,-
4-Oct-94,9.97,9.97,9.97,9.97,3.39,-
5-Oct-94,9.93,9.93,9.93,9.93,3.37,-
6-Oct-94,9.92,9.92,9.92,9.92,3.37,-
7-Oct-94,9.96,9.96,9.96,9.96,3.38,-
10-Oct-94,10,10.0,10.0,10.0,3.4,-
11-Oct-94,10.09,10.09,10.09,10.09,3.43,-
12-Oct-94,10.08,10.08,10.08,10.08,3.42,-
13-Oct-94,10.11,10.11,10.11,10.11,3.43,-
14-Oct-94,10.13,10.13,10.13,10.13,3.44,-
17-Oct-94,10.13,10.13,10.13,10.13,3.44,-
18-Oct-94,10.11,10.11,10.11,10.11,3.43,-
19-Oct-94,10.12,10.12,10.12,10.12,3.44,-
20-Oct-94,10.06,10.06,10.06,10.06,3.42,-
21-Oct-94,10.04,10.04,10.04,10.04,3.41,-
24-Oct-94,9.99,9.99,9.99,9.99,3.39,-
25-Oct-94,9.98,9.98,9.98,9.98,3.39,-
26-Oct-94,9.99,9.99,9.99,9.99,3.39,-
27-Oct-94,10.03,10.03,10.03,10.03,3.41,-
28-Oct-94,10.12,10.12,10.12,10.12,3.44,-
31-Oct-94,10.12,10.12,10.12,10.12,3.44,-
1-Nov-94,10.07,10.07,10.07,10.07,3.42,-
2-Nov-94,10.04,10.04,10.04,10.04,3.41,-
3-Nov-94,10.04,10.04,10.04,10.04,3.41,-
4-Nov-94,9.97,9.97,9.97,9.97,3.39,-
7-Nov-94,9.97,9.97,9.97,9.97,3.39,-
8-Nov-94,10.01,10.01,10.01,10.01,3.4,-
9-Nov-94,10.01,10.01,10.01,10.01,3.4,-
10-Nov-94,9.98,9.98,9.98,9.98,3.39,-
11-Nov-94,9.96,9.96,9.96,9.96,3.38,-
14-Nov-94,10,10.0,10.0,10.0,3.4,-
