Date,Open,High,Low,Close,Adj Close,Volume
25-Aug-15,50.01,50.14,49.95,50.07,38.75,27
26-Aug-15,50.02,50.3,50.0,50.0,38.69,"115,500"
27-Aug-15,50.0,50.04,49.97,50.0,38.69,"29,400"
28-Aug-15,50.09,50.09,49.98,49.99,38.69,"13,800"
31-Aug-15,50.1,50.1,49.95,49.98,38.68,"35,400"
01-Sep-15,50.07,50.07,49.92,49.93,38.65,"43,500"
02-Sep-15,49.91,49.98,49.81,49.83,38.58,"24,100"
03-Sep-15,49.93,50.03,49.93,49.99,38.7,"105,100"
04-Sep-15,49.97,50.0,49.93,49.98,38.69,"24,700"
08-Sep-15,49.92,49.92,49.8,49.83,38.58,"44,700"
09-Sep-15,49.75,49.86,49.74,49.81,38.56,"105,400"
10-Sep-15,49.82,49.82,49.75,49.79,38.55,"61,400"
11-Sep-15,49.83,49.86,49.82,49.84,38.58,"23,000"
14-Sep-15,49.86,49.86,49.81,49.83,38.58,"8,100"
15-Sep-15,49.78,49.78,49.62,49.64,38.43,"17,700"
16-Sep-15,49.7,49.7,49.65,49.66,38.44,"12,400"
17-Sep-15,49.74,49.88,49.72,49.88,38.62,"3,700"
18-Sep-15,49.94,50.01,49.91,49.98,38.69,"15,900"
21-Sep-15,49.87,49.87,49.79,49.84,38.58,"45,100"
22-Sep-15,50.0,50.06,49.96,50.03,38.73,"14,600"
23-Sep-15,50.01,50.06,50.01,50.04,38.74,"16,700"
24-Sep-15,50.11,50.13,50.03,50.07,38.76,"23,400"
25-Sep-15,50.08,50.09,50.04,50.08,38.77,"24,600"
28-Sep-15,50.1,50.17,50.08,50.17,38.84,"165,100"
29-Sep-15,50.22,50.26,50.19,50.24,38.89,"30,400"
30-Sep-15,50.23,50.24,50.21,50.24,38.89,"13,100"
01-Oct-15,50.21,50.21,50.14,50.19,38.91,"21,000"
02-Oct-15,50.32,50.33,50.26,50.28,38.98,"15,400"
05-Oct-15,50.27,50.27,50.16,50.23,38.95,"81,900"
06-Oct-15,50.27,50.29,50.22,50.28,38.98,"30,000"
07-Oct-15,50.2,50.26,50.17,50.23,38.95,"32,900"
08-Oct-15,50.28,50.28,50.2,50.22,38.94,"38,300"
09-Oct-15,50.21,50.22,50.15,50.18,38.91,"19,600"
12-Oct-15,50.26,50.29,50.21,50.29,38.99,"11,600"
13-Oct-15,50.3,50.3,50.26,50.28,38.98,"3,500"
14-Oct-15,50.31,50.38,50.24,50.38,39.06,"25,500"
15-Oct-15,50.28,50.29,50.21,50.24,38.95,"32,600"
16-Oct-15,50.3,50.3,50.24,50.24,38.95,"37,900"
19-Oct-15,50.3,50.3,50.24,50.25,38.96,"11,900"
20-Oct-15,50.25,50.25,50.22,50.23,38.95,"11,100"
21-Oct-15,50.33,50.38,50.3,50.36,39.05,"12,600"
22-Oct-15,50.34,50.36,50.29,50.31,39.01,"143,400"
23-Oct-15,50.28,50.3,50.25,50.28,38.98,"117,900"
26-Oct-15,50.4,50.4,50.37,50.39,39.07,"34,600"
27-Oct-15,50.42,50.44,50.39,50.41,39.08,"21,300"
28-Oct-15,50.46,50.46,50.35,50.36,39.05,"23,400"
29-Oct-15,50.43,50.43,50.31,50.34,39.03,"42,500"
30-Oct-15,50.39,50.42,50.38,50.42,39.09,"46,000"
02-Nov-15,50.29,50.32,50.26,50.26,39.02,"34,000"
03-Nov-15,50.3,50.3,50.21,50.23,39.0,"26,000"
04-Nov-15,50.26,50.31,50.13,50.27,39.03,"91,500"
05-Nov-15,50.3,50.3,50.22,50.26,39.02,"24,000"
06-Nov-15,50.02,50.18,50.0,50.08,38.88,"67,300"
09-Nov-15,50.12,50.14,50.03,50.1,38.9,"91,400"
10-Nov-15,50.12,50.19,50.06,50.13,38.92,"41,600"
11-Nov-15,50.1,50.12,50.06,50.11,38.9,"37,300"
12-Nov-15,50.14,50.19,50.08,50.14,38.93,"36,300"
13-Nov-15,50.21,50.21,50.12,50.2,38.97,"19,200"
16-Nov-15,50.27,50.28,50.19,50.25,39.01,"36,100"
17-Nov-15,50.24,50.29,50.19,50.25,39.01,"45,800"
18-Nov-15,50.3,50.3,50.24,50.25,39.01,"57,300"
19-Nov-15,50.32,50.32,50.28,50.29,39.04,"38,600"
20-Nov-15,50.44,50.44,50.36,50.39,39.12,"41,300"
23-Nov-15,50.52,50.52,50.39,50.41,39.14,"95,800"
24-Nov-15,50.45,50.48,50.4,50.47,39.18,"49,000"
25-Nov-15,50.49,50.55,50.49,50.5,39.21,"62,600"
27-Nov-15,50.56,50.56,50.52,50.52,39.22,"37,100"
30-Nov-15,50.53,50.55,50.49,50.53,39.23,"49,600"
01-Dec-15,50.53,50.64,50.51,50.59,39.3,"81,400"
02-Dec-15,50.57,50.61,50.51,50.58,39.29,"24,400"
03-Dec-15,50.54,50.54,50.42,50.45,39.19,"64,100"
04-Dec-15,50.53,50.56,50.47,50.53,39.25,"66,800"
07-Dec-15,50.51,50.61,50.42,50.51,39.24,"41,200"
08-Dec-15,50.69,50.69,50.54,50.59,39.3,"69,900"
09-Dec-15,50.63,50.66,50.55,50.58,39.29,"65,500"
10-Dec-15,50.61,50.66,50.54,50.65,39.35,"68,400"
11-Dec-15,50.82,50.93,50.77,50.89,39.53,"56,400"
14-Dec-15,50.79,50.79,50.62,50.69,39.38,"44,000"
15-Dec-15,50.75,50.75,50.65,50.71,39.39,"40,500"
16-Dec-15,50.65,50.71,50.6,50.7,39.39,"69,300"
17-Dec-15,50.84,50.85,50.74,50.85,39.5,"263,800"
18-Dec-15,50.74,50.83,50.72,50.82,39.48,"132,400"
21-Dec-15,50.86,50.86,50.77,50.82,39.48,"56,700"
22-Dec-15,50.8,50.83,50.66,50.66,39.36,"65,500"
23-Dec-15,50.72,50.76,50.7,50.76,39.51,"48,600"
24-Dec-15,50.76,50.89,50.71,50.88,39.61,"185,400"
28-Dec-15,50.87,50.88,50.8,50.86,39.59,"217,300"
29-Dec-15,50.9,50.95,50.86,50.91,39.63,"119,300"
30-Dec-15,50.94,50.98,50.91,50.91,39.63,"141,700"
31-Dec-15,50.97,51.01,50.96,50.99,39.69,"60,500"
04-Jan-16,51.06,51.1,51.0,51.05,39.74,"68,300"
05-Jan-16,51.06,51.17,51.03,51.13,39.8,"68,100"
06-Jan-16,51.26,51.39,51.22,51.34,39.97,"110,400"
07-Jan-16,51.37,51.37,51.26,51.31,39.94,"103,000"
08-Jan-16,51.31,51.35,51.25,51.35,39.97,"123,500"
11-Jan-16,51.27,51.27,51.11,51.21,39.86,"93,500"
12-Jan-16,51.26,51.26,51.11,51.18,39.84,"116,000"
13-Jan-16,51.23,51.26,51.19,51.23,39.88,"29,100"
14-Jan-16,51.25,51.31,51.19,51.19,39.85,"63,400"
15-Jan-16,51.27,51.48,51.27,51.27,39.91,"206,700"
19-Jan-16,51.16,51.26,51.16,51.21,39.86,"79,200"
20-Jan-16,51.39,51.42,51.31,51.37,39.99,"102,600"
21-Jan-16,51.43,51.43,51.27,51.32,39.95,"35,400"
22-Jan-16,51.26,51.32,51.26,51.28,39.92,"142,200"
25-Jan-16,51.32,51.32,51.22,51.22,39.87,"64,500"
26-Jan-16,51.21,51.24,51.18,51.24,39.89,"73,600"
27-Jan-16,51.21,51.22,51.18,51.18,39.84,"28,000"
28-Jan-16,51.25,51.25,51.2,51.22,39.87,"68,300"
29-Jan-16,51.33,51.33,51.25,51.25,39.9,"61,700"
01-Feb-16,51.26,51.26,51.22,51.24,39.94,"65,900"
02-Feb-16,51.37,51.37,51.31,51.36,40.03,"87,600"
03-Feb-16,51.39,51.39,51.33,51.35,40.02,"76,800"
04-Feb-16,51.36,51.4,51.31,51.35,40.02,"74,700"
05-Feb-16,51.45,51.49,51.36,51.46,40.11,"54,200"
08-Feb-16,51.43,51.53,51.42,51.49,40.13,"78,500"
09-Feb-16,51.61,51.61,51.48,51.51,40.15,"97,000"
10-Feb-16,51.51,51.57,51.48,51.56,40.19,"197,200"
11-Feb-16,51.74,51.75,51.59,51.6,40.22,"63,600"
12-Feb-16,51.56,51.68,51.48,51.54,40.17,"73,600"
16-Feb-16,51.65,51.65,51.49,51.51,40.15,"73,300"
17-Feb-16,51.41,51.47,51.36,51.44,40.09,"45,500"
18-Feb-16,51.42,51.53,51.42,51.47,40.12,"90,300"
19-Feb-16,51.46,51.51,51.42,51.46,40.11,"113,400"
22-Feb-16,51.47,51.48,51.39,51.39,40.05,"45,600"
23-Feb-16,51.34,51.43,51.32,51.38,40.05,"85,000"
24-Feb-16,51.45,51.5,51.32,51.38,40.05,"43,300"
25-Feb-16,51.48,51.48,51.36,51.43,40.09,"84,500"
26-Feb-16,51.32,51.32,51.26,51.27,39.96,"36,300"
29-Feb-16,51.34,51.38,51.32,51.34,40.02,"195,200"
01-Mar-16,51.37,51.37,51.17,51.22,39.98,"72,500"
02-Mar-16,51.24,51.24,51.1,51.11,39.89,"49,500"
03-Mar-16,51.11,51.21,51.02,51.12,39.9,"175,200"
04-Mar-16,51.14,51.14,51.06,51.07,39.86,"79,000"
07-Mar-16,51.08,51.08,51.0,51.05,39.84,"79,900"
08-Mar-16,51.1,51.15,51.07,51.12,39.9,"39,400"
09-Mar-16,51.04,51.09,51.02,51.04,39.84,"118,600"
