Date,Open,High,Low,Close,Adj Close,Volume
14-May-01,50,50.0,50.0,50.0,10.61,-
15-May-01,50.13,50.13,50.13,50.13,10.63,-
16-May-01,51.08,51.08,51.08,51.08,10.84,-
17-May-01,51.23,51.23,51.23,51.23,10.87,-
18-May-01,51.33,51.33,51.33,51.33,10.89,-
21-May-01,51.56,51.56,51.56,51.56,10.94,-
22-May-01,51.32,51.32,51.32,51.32,10.89,-
23-May-01,51.01,51.01,51.01,51.01,10.82,-
24-May-01,50.84,50.84,50.84,50.84,10.78,-
25-May-01,50.61,50.61,50.61,50.61,10.74,-
29-May-01,50.69,50.69,50.69,50.69,10.75,-
30-May-01,50.33,50.33,50.33,50.33,10.68,-
31-May-01,50.76,50.76,50.76,50.76,10.77,-
1-Jun-01,50.85,50.85,50.85,50.85,10.79,-
4-Jun-01,51.16,51.16,51.16,51.16,10.85,-
5-Jun-01,51.48,51.48,51.48,51.48,10.92,-
6-Jun-01,51.09,51.09,51.09,51.09,10.84,-
7-Jun-01,51.07,51.07,51.07,51.07,10.83,-
8-Jun-01,50.81,50.81,50.81,50.81,10.78,-
11-Jun-01,50.69,50.69,50.69,50.69,10.75,-
12-Jun-01,50.65,50.65,50.65,50.65,10.74,-
13-Jun-01,50.5,50.5,50.5,50.5,10.71,-
14-Jun-01,49.92,49.92,49.92,49.92,10.59,-
15-Jun-01,49.86,49.86,49.86,49.86,10.58,-
18-Jun-01,49.75,49.75,49.75,49.75,10.55,-
19-Jun-01,49.8,49.8,49.8,49.8,10.56,-
20-Jun-01,49.9,49.9,49.9,49.9,10.59,-
21-Jun-01,50.15,50.15,50.15,50.15,10.64,-
22-Jun-01,49.61,49.61,49.61,49.61,10.61,-
25-Jun-01,49.42,49.42,49.42,49.42,10.57,-
26-Jun-01,49.39,49.39,49.39,49.39,10.56,-
27-Jun-01,49.3,49.3,49.3,49.3,10.54,-
28-Jun-01,49.48,49.48,49.48,49.48,10.58,-
29-Jun-01,49.5,49.5,49.5,49.5,10.58,-
2-Jul-01,49.84,49.84,49.84,49.84,10.66,-
3-Jul-01,49.73,49.73,49.73,49.73,10.63,-
5-Jul-01,49.63,49.63,49.63,49.63,10.61,-
6-Jul-01,49.17,49.17,49.17,49.17,10.51,-
9-Jul-01,49.34,49.34,49.34,49.34,10.55,-
10-Jul-01,49.12,49.12,49.12,49.12,10.5,-
11-Jul-01,49.2,49.2,49.2,49.2,10.52,-
12-Jul-01,49.68,49.68,49.68,49.68,10.62,-
13-Jul-01,49.85,49.85,49.85,49.85,10.66,-
16-Jul-01,49.58,49.58,49.58,49.58,10.6,-
17-Jul-01,49.81,49.81,49.81,49.81,10.65,-
18-Jul-01,49.89,49.89,49.89,49.89,10.67,-
19-Jul-01,50,50.0,50.0,50.0,10.69,-
20-Jul-01,49.87,49.87,49.87,49.87,10.66,-
23-Jul-01,49.54,49.54,49.54,49.54,10.59,-
24-Jul-01,48.88,48.88,48.88,48.88,10.45,-
25-Jul-01,49.38,49.38,49.38,49.38,10.56,-
26-Jul-01,49.73,49.73,49.73,49.73,10.63,-
27-Jul-01,49.77,49.77,49.77,49.77,10.64,-
30-Jul-01,49.92,49.92,49.92,49.92,10.67,-
31-Jul-01,50.18,50.18,50.18,50.18,10.73,-
1-Aug-01,50.23,50.23,50.23,50.23,10.74,-
2-Aug-01,50.26,50.26,50.26,50.26,10.75,-
3-Aug-01,50.13,50.13,50.13,50.13,10.72,-
6-Aug-01,49.88,49.88,49.88,49.88,10.67,-
7-Aug-01,50.03,50.03,50.03,50.03,10.7,-
8-Aug-01,49.69,49.69,49.69,49.69,10.63,-
9-Aug-01,49.64,49.64,49.64,49.64,10.61,-
10-Aug-01,49.98,49.98,49.98,49.98,10.69,-
13-Aug-01,49.99,49.99,49.99,49.99,10.69,-
14-Aug-01,50.01,50.01,50.01,50.01,10.69,-
15-Aug-01,49.91,49.91,49.91,49.91,10.67,-
16-Aug-01,50.03,50.03,50.03,50.03,10.7,-
17-Aug-01,49.73,49.73,49.73,49.73,10.63,-
20-Aug-01,49.76,49.76,49.76,49.76,10.64,-
21-Aug-01,49.58,49.58,49.58,49.58,10.6,-
22-Aug-01,49.79,49.79,49.79,49.79,10.65,-
23-Aug-01,49.75,49.75,49.75,49.75,10.64,-
24-Aug-01,50.18,50.18,50.18,50.18,10.73,-
27-Aug-01,50.04,50.04,50.04,50.04,10.7,-
28-Aug-01,49.8,49.8,49.8,49.8,10.65,-
29-Aug-01,49.57,49.57,49.57,49.57,10.6,-
30-Aug-01,49.23,49.23,49.23,49.23,10.53,-
31-Aug-01,49.31,49.31,49.31,49.31,10.54,-
4-Sep-01,49.33,49.33,49.33,49.33,10.55,-
5-Sep-01,49.32,49.32,49.32,49.32,10.55,-
