Split,Date,Type,Security/Payee,Description/Category,Invest Amt,Amount
,12/17/25,Buy,DIMENSIONAL U.S. CORE EQUITY 2 ETF,446 shares @ 39.19719731,"17,481.95","-17,481.95"
,12/17/25,Buy,GOLDMAN SACHS ACTIVEBETAEMERGING MARKETS EQUITY ETF,46 shares @ 41.055,"1,888.53","-1,888.53"
,12/17/25,Buy,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,"1,941 shares @ 50.27990211","97,593.29","-97,593.29"
,12/17/25,Buy,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,88 shares @ 42.455,"3,736.04","-3,736.04"
,12/17/25,Buy,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,67 shares @ 74.90895522,"5,018.90","-5,018.90"
,12/17/25,Buy,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,204 shares @ 33.845,"6,904.38","-6,904.38"
,12/17/25,Buy,AVANTIS REAL ESTATE ETF,29 shares @ 43.21344828,"1,253.19","-1,253.19"
,12/17/25,Buy,AVANTIS EMERGING MARKETSEQUITY ETF,25 shares @ 74.2532,"1,856.33","-1,856.33"
,12/17/25,Buy,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,90 shares @ 130.79855556,"11,771.87","-11,771.87"
,12/17/25,Buy,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,"2,081 shares @ 48.06139837","100,015.77","-100,015.77"
,5/28/26,Buy,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,61 shares @ 48.19,"2,939.59","-2,939.59"
,5/28/26,Buy,AVANTIS EMERGING MARKETSEQUITY ETF,15 shares @ 96.996,"1,454.94","-1,454.94"
,5/28/26,Buy,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,61 shares @ 50.27,"3,066.47","-3,066.47"
,5/28/26,Sell,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,5 shares @ 143.32,-716.59,716.59
,5/28/26,Sell,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,7 shares @ 85.69142857,-599.83,599.83
,5/28/26,Sell,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,18 shares @ 38.18,-687.23,687.23
,5/28/26,Sell,GOLDMAN SACHS ACTIVEBETAEMERGING MARKETS EQUITY ETF,46 shares @ 51.90,"-2,387.34","2,387.34"
,5/28/26,Sell,AVANTIS REAL ESTATE ETF,2 shares @ 47.91,-95.82,95.82
,5/28/26,Sell,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,4 shares @ 45.885,-183.54,183.54
,5/28/26,Sell,DIMENSIONAL U.S. CORE EQUITY 2 ETF,37 shares @ 44.14,"-1,633.14","1,633.14"
,7/16/26,Sell,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,374 shares @ 48.13360963,"-18,001.53","18,001.53"
,7/16/26,Sell,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,11 shares @ 86.84636364,-955.29,955.29
,7/16/26,Sell,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,15 shares @ 143.22533333,"-2,148.34","2,148.34"
,7/16/26,Sell,AVANTIS REAL ESTATE ETF,5 shares @ 48.56,-242.79,242.79
,7/16/26,Sell,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,32 shares @ 37.545,"-1,201.41","1,201.41"
,7/16/26,Sell,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,349 shares @ 50.14469914,"-17,500.07","17,500.07"
,7/16/26,Sell,DIMENSIONAL U.S. CORE EQUITY 2 ETF,71 shares @ 44.53507042,"-3,161.91","3,161.91"
,7/16/26,Sell,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,15 shares @ 46.16,-692.39,692.39
,7/16/26,Sell,AVANTIS EMERGING MARKETSEQUITY ETF,7 shares @ 90.46428571,-633.24,633.24
,7/20/26,Buy,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,174 shares @ 37.315,"6,492.81","-6,492.81"
,7/20/26,Buy,AVANTIS EMERGING MARKETSEQUITY ETF,39 shares @ 90.07512821,"3,512.93","-3,512.93"
,7/20/26,Buy,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,70 shares @ 45.885,"3,211.95","-3,211.95"
,7/20/26,Buy,AVANTIS REAL ESTATE ETF,22 shares @ 48.74,"1,072.28","-1,072.28"
,7/20/26,Buy,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,25 shares @ 86.64,"2,166.00","-2,166.00"
,7/20/26,Buy,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,79 shares @ 142.37,"11,247.23","-11,247.23"
,7/20/26,Buy,DIMENSIONAL U.S. CORE EQUITY 2 ETF,347 shares @ 44.32959654,"15,382.37","-15,382.37"
,7/20/26,Sell,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,443 shares @ 48.06358916,"-21,291.64","21,291.64"
,7/20/26,Sell,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,424 shares @ 50.09459906,"-21,239.59","21,239.59"
