Date,Type,Security/Payee,Description/Category,Shares Out,Shares In,Share Balance,Cash Out,Cash In,Invest Amt,Amount,Balance
9/5/23,Add Shares,ISHRS CORE MOD ALLO,460 shares,,460,460,,,,0,0
10/10/23,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,99.07,,99.07,99.07
10/10/23,Miscellaneous Expense,,Advisor Fee,,,,45.39,,,-45.39,53.68
12/29/23,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,206.27,,206.27,259.95
1/10/24,Miscellaneous Expense,,Advisor Fee,,,,48.37,,,-48.37,211.58
4/8/24,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,101.87,,101.87,313.45
4/9/24,Miscellaneous Expense,,Advisor Fee,,,,49.7,,,-49.7,263.75
7/8/24,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,155.17,,155.17,418.92
7/10/24,Miscellaneous Expense,,Advisor Fee,,,,50.37,,,-50.37,368.55
7/18/24,Buy,ISHRS CORE MOD ALLO,6 shares @ 43.395,,6,466,260.37,,260.37,-260.37,108.18
10/6/24,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,121.44,,121.44,229.62
10/8/24,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,53.08,,,-53.08,176.54
12/26/24,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,245.68,,245.68,422.22
1/10/25,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,51.91,,,-51.91,370.31
4/3/25,Buy,ISHRS CORE MOD ALLO,6 shares @ 43.385,,6,472,260.31,,260.31,-260.31,110
4/7/25,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,115.27,,115.27,225.27
4/10/25,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,52.3,,,-52.3,172.97
7/8/25,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,176.32,,176.32,349.29
7/9/25,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,55.01,,,-55.01,294.28
9/29/25,Buy,ISHRS CORE MOD ALLO,3 shares @ 47.48,,3,475,142.44,,142.44,-142.44,151.84
10/7/25,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,127.49,,127.49,279.33
10/9/25,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,57.13,,,-57.13,222.2
12/22/25,Add Shares,ISHRS CORE MOD ALLO,5 shares @ 48.24,,5,480,,,241.2,0,222.2
12/29/25,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,255.63,,255.63,477.83
1/12/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,58.79,,,-58.79,419.04
1/23/26,Buy,ISHRS CORE MOD ALLO,6 shares @ 48.25,,6,486,289.5,,289.5,-289.5,129.54
4/8/26,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,150.74,,150.74,280.28
4/9/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Advisor Fee,,,,58.19,,,-58.19,222.09
4/24/26,Buy,ISHRS CORE MOD ALLO,2 shares @ 48.875,,2,488,97.75,,97.75,-97.75,124.34
7/8/26,Dividend Income,ISHRS CORE MOD ALLO,Investments:Dividend Income,,,,,198.85,,198.85,323.19
7/9/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,61.49,,,-61.49,261.7
8/4/26,Buy,ISHRS CORE MOD ALLO,2 shares @ 49.81,,2,490,99.62,,99.62,-99.62,162.08
