Date,Type,Security/Payee,Description/Category,Shares Out,Shares In,Share Balance,Cash Out,Cash In,Invest Amt,Balance
3/5/16,Placeholder,FREE MARKET US EQTY FD INST CL SHRS,+3 shares (to reach 897.476 on 04/18/23),,3,3,,,80.26,0
3/6/16,Buy,FREE MARKET US EQTY FD INST CL SHRS,669.823 shares @ 3.00,,669.823,672.823,"2,009.47",,"2,009.47","-2,009.47"
3/8/16,Buy,FREE MARKET INTL EQTY FD INST CL SHR,874.439 shares @ 8.92000471,,874.439,874.439,"7,800.00",,"7,800.00","-9,809.47"
3/8/16,Buy,FREE MARKET FIXED INCM FD INST CL SHRS,"1,100.386 shares @ 10.36000095",,"1,100.39","1,100.39","11,400.00",,"11,400.00","-21,209.47"
5/23/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.5,,,"-21,210.97"
6/23/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.55,,,"-21,212.52"
7/7/16,Payment/Deposit,Mgmtfee To Advisor Mgmtfee To Advisor,Uncategorized,,,,138.61,,,"-21,351.13"
7/25/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.5,,,"-21,352.63"
8/23/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.55,,,"-21,354.18"
9/23/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.55,,,"-21,355.73"
9/30/16,Reinvest Dividend,FREE MARKET FIXED INCM FD INST CL SHRS,2.496 shares @ 10.40865385,,2.496,"1,102.88",,,25.98,"-21,355.73"
10/6/16,Payment/Deposit,Mgmtfee To Advisor Mgmtfee To Advisor,Uncategorized,,,,77.03,,,"-21,432.76"
10/6/16,Payment/Deposit,Tfr Td Bank. Na. Arnold Tfr Td Bank. Na. Arnold W. And El,Uncategorized,,,,,"3,000.00",,"-18,432.76"
10/10/16,Buy,FREE MARKET US EQTY FD INST CL SHRS,38.602 shares @ 16.36003316,,38.602,711.425,631.53,,631.53,"-19,064.29"
10/10/16,Buy,FREE MARKET INTL EQTY FD INST CL SHR,65.083 shares @ 9.42995867,,65.083,939.522,613.73,,613.73,"-19,678.02"
10/10/16,Buy,FREE MARKET FIXED INCM FD INST CL SHRS,139.837 shares @ 10.38001387,,139.837,"1,242.72","1,451.51",,"1,451.51","-21,129.53"
10/15/16,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.01,,"-21,129.52"
10/24/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.5,,,"-21,131.02"
11/15/16,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.01,,"-21,131.01"
11/23/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.64,,,"-21,132.65"
12/15/16,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.01,,"-21,132.64"
12/23/16,Payment/Deposit,Abp Fee,Uncategorized,,,,1.8,,,"-21,134.44"
12/29/16,Reinvest Dividend,FREE MARKET US EQTY FD INST CL SHRS,6.124 shares @ 17.27139125,,6.124,717.549,,,105.77,"-21,134.44"
12/29/16,Reinvest Long-term Capital Gain,FREE MARKET US EQTY FD INST CL SHRS,27.859 shares @ 17.27018199,,27.859,745.408,,,481.13,"-21,134.44"
12/29/16,Reinvest Long-term Capital Gain,FREE MARKET INTL EQTY FD INST CL SHR,10.818 shares @ 9.20965058,,10.818,950.34,,,99.63,"-21,134.44"
12/29/16,Reinvest Dividend,FREE MARKET INTL EQTY FD INST CL SHR,19.048 shares @ 9.2098908,,19.048,969.388,,,175.43,"-21,134.44"
12/30/16,Reinvest Dividend,FREE MARKET FIXED INCM FD INST CL SHRS,5.935 shares @ 10.23925864,,5.935,"1,248.65",,,60.77,"-21,134.44"
1/10/17,Payment/Deposit,Mgmtfee To Advisor Mgmtfee To Advisor,Uncategorized,,,,94.11,,,"-21,228.55"
1/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.02,,"-21,228.53"
1/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,1.86,,,"-21,230.39"
2/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.01,,"-21,230.38"
2/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,1.86,,,"-21,232.24"
3/7/17,Payment/Deposit,Tfr Td Bank. Na. Arnold Tfr Td Bank. Na. Arnold W. And El,Uncategorized,,,,,"8,400.00",,"-12,832.24"
3/8/17,Buy,FREE MARKET US EQTY FD INST CL SHRS,117.259 shares @ 17.36003207,,117.259,862.667,"2,035.62",,"2,035.62","-14,867.86"
3/8/17,Buy,FREE MARKET INTL EQTY FD INST CL SHR,210.322 shares @ 9.71001607,,210.322,"1,179.71","2,042.23",,"2,042.23","-16,910.09"
3/8/17,Buy,FREE MARKET FIXED INCM FD INST CL SHRS,391.997 shares @ 10.24000184,,391.997,"1,640.65","4,014.05",,"4,014.05","-20,924.14"
3/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.02,,"-20,924.12"
3/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,1.83,,,"-20,925.95"
4/6/17,Payment/Deposit,Mgmtfee To Advisor Mgmtfee To Advisor,Uncategorized,,,,115.86,,,"-21,041.81"
4/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.03,,"-21,041.78"
4/24/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.17,,,"-21,043.95"
5/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.03,,"-21,043.92"
5/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.1,,,"-21,046.02"
6/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.03,,"-21,045.99"
6/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.17,,,"-21,048.16"
6/30/17,Reinvest Dividend,FREE MARKET FIXED INCM FD INST CL SHRS,5.849 shares @ 10.29064797,,5.849,"1,646.50",,,60.19,"-21,048.16"
7/7/17,Payment/Deposit,Mgmtfee To Advisor Mgmtfee To Advisor,Uncategorized,,,,112.19,,,"-21,160.35"
7/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.05,,"-21,160.30"
7/24/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.1,,,"-21,162.40"
8/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.05,,"-21,162.35"
8/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.17,,,"-21,164.52"
9/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.05,,"-21,164.47"
9/25/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.25,,,"-21,166.72"
9/29/17,Reinvest Dividend,FREE MARKET FIXED INCM FD INST CL SHRS,1.876 shares @ 10.31982942,,1.876,"1,648.38",,,19.36,"-21,166.72"
10/4/17,Payment/Deposit,Mgmtfee To Advisor Mgmtfee To Advisor,Uncategorized,,,,116.25,,,"-21,282.97"
10/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.05,,"-21,282.92"
10/23/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.4,,,"-21,285.32"
11/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.04,,"-21,285.28"
11/24/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.48,,,"-21,287.76"
12/15/17,Payment/Deposit,Bank Interest,Uncategorized,,,,,0.04,,"-21,287.72"
12/26/17,Payment/Deposit,Abp Fee,Uncategorized,,,,2.4,,,"-21,290.12"
12/26/17,Reinvest Long-term Capital Gain,FREE MARKET US EQTY FD INST CL SHRS,23.543 shares @ 18.8803466,,23.543,886.21,,,444.5,"-21,290.12"
12/26/17,Reinvest Dividend,FREE MARKET US EQTY FD INST CL SHRS,9.037 shares @ 18.88015934,,9.037,895.247,,,170.62,"-21,290.12"
