Date,Type,Security/Payee,Description/Category,Shares Out,Shares In,Share Balance,Cash Out,Cash In,Invest Amt,Balance
12/16/25,Payment/Deposit,Funds Received,Personal Income,,,,,"250,000.00",,"250,000.00"
12/17/25,Buy,DIMENSIONAL U.S. CORE EQUITY 2 ETF,446 shares @ 39.19719731,,446,446,"17,481.95",,"17,481.95","232,518.05"
12/17/25,Buy,GOLDMAN SACHS ACTIVEBETAEMERGING MARKETS EQUITY ETF,46 shares @ 41.055,,46,46,"1,888.53",,"1,888.53","230,629.52"
12/17/25,Buy,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,"1,941 shares @ 50.27990211",,"1,941","1,941","97,593.29",,"97,593.29","133,036.23"
12/17/25,Buy,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,88 shares @ 42.455,,88,88,"3,736.04",,"3,736.04","129,300.19"
12/17/25,Buy,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,67 shares @ 74.90895522,,67,67,"5,018.90",,"5,018.90","124,281.29"
12/17/25,Buy,DIMENSIONAL INTERNATIONAL CORE EQUITY 2 ETF,204 shares @ 33.845,,204,204,"6,904.38",,"6,904.38","117,376.91"
12/17/25,Buy,AVANTIS REAL ESTATE ETF,29 shares @ 43.21344828,,29,29,"1,253.19",,"1,253.19","116,123.72"
12/17/25,Buy,AVANTIS EMERGING MARKETSEQUITY ETF,25 shares @ 74.2532,,25,25,"1,856.33",,"1,856.33","114,267.39"
12/17/25,Buy,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,90 shares @ 130.79855556,,90,90,"11,771.87",,"11,771.87","102,495.52"
12/17/25,Buy,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,"2,081 shares @ 48.06139837",,"2,081","2,081","100,015.77",,"100,015.77","2,479.75"
12/22/25,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,275.04,,"2,754.79"
12/30/25,Dividend Income,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,Investments:Dividend Income,,,,,30.43,,"2,785.22"
12/30/25,Dividend Income,GOLDMAN SACHS ACTIVEBETAEMERGING MARKETS EQUITY ETF,Investments:Dividend Income,,,,,44.08,,"2,829.30"
12/30/25,Dividend Income,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,Investments:Dividend Income,,,,,19.25,,"2,848.55"
1/14/26,Miscellaneous Expense,MGMTFEE TO ADVISOR,Uncategorized,,,,736.7,,,"2,111.85"
1/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.16,,"2,112.01"
1/23/26,Dividend Income,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,Investments:Dividend Income,,,,,87.22,,"2,199.23"
2/4/26,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,271.35,,"2,470.58"
2/15/26,Payment/Deposit,Bank Int Xx,Personal Income,,,,,0.02,,"2,470.60"
2/20/26,Dividend Income,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,Investments:Dividend Income,,,,,213.31,,"2,683.91"
3/4/26,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,288.63,,"2,972.54"
3/12/26,Dividend Income,AVANTIS EMERGING MARKETSEQUITY ETF,Investments:Dividend Income,,,,,1.47,,"2,974.01"
3/12/26,Dividend Income,AVANTIS REAL ESTATE ETF,Investments:Dividend Income,,,,,1.09,,"2,975.10"
